failure,weight,vel,mean1k_max,std1k_max,max1k_max,mean512_max,std512_max,max512_max,mean256_max,std256_max,max256_max,mean128_max,std128_max,max128_max,mean64_max,std64_max,max64_max,mean32_max,std32_max,max32_max,mean16_max,std16_max,max16_max
1.00,7172.47,59.24,21.25,56.67,1087.97,32.17,52.84,715.37,6.38,10.30,167.26,13.68,31.40,465.74,31.28,98.90,1706.60,92.51,316.00,3677.23,32.37,114.00,2548.19
0.00,3142.88,59.24,93.95,244.14,3187.93,110.59,230.78,3397.57,18.13,30.20,456.05,29.09,71.70,1002.51,73.87,252.00,5008.26,303.08,1230.00,13180.91,75.70,439.00,13176.78
0.00,36838.76,77.90,283.38,723.98,13313.71,252.94,328.73,4929.92,166.07,245.00,2354.97,562.80,1010.00,10949.52,828.53,2040.00,15632.38,317.21,895.00,11789.05,276.55,890.00,21540.92
0.00,25391.42,77.90,89.22,239.32,5221.03,83.03,133.96,2136.79,56.61,75.80,748.83,121.31,229.00,2256.23,452.18,945.00,10899.91,404.18,1010.00,11043.32,95.73,338.00,7112.00
0.00,551.03,57.49,176.94,559.23,10197.34,155.58,232.46,2703.85,161.56,265.00,2504.16,214.62,431.00,5256.24,603.28,1340.00,11737.85,181.35,621.00,8493.46,196.04,1160.00,26646.63
0.00,32400.00,55.27,234.07,579.92,10030.84,307.78,560.79,8696.72,123.27,209.00,2844.66,528.02,1310.00,13993.56,893.46,2370.00,18015.57,495.81,1520.00,18081.03,184.33,609.00,11028.99
0.00,467.95,55.27,17.23,47.47,963.92,26.12,27.77,303.69,26.70,30.10,210.12,33.65,68.20,1247.58,237.81,589.00,5745.17,168.29,492.00,5742.19,21.79,66.70,1149.77
0.00,32321.93,56.02,150.16,374.45,5729.08,159.81,282.71,5231.80,74.05,106.00,1421.38,215.18,318.00,3376.83,510.02,1030.00,7870.83,338.96,860.00,8397.66,127.21,436.00,8723.94
0.00,7606.66,56.02,108.91,265.37,4212.47,112.51,227.76,4035.79,38.13,58.40,704.71,140.00,238.00,2869.92,288.29,732.00,7522.50,308.55,743.00,7364.96,90.64,259.00,4074.73
1.00,9025.00,45.57,616.98,1685.76,29053.82,252.56,596.43,13498.77,114.26,187.00,2287.21,663.72,1140.00,11480.59,1081.34,2070.00,17201.42,909.89,2760.00,24369.57,547.48,1980.00,43238.78
0.00,6084.00,49.59,248.19,595.29,7260.19,125.98,245.72,5149.00,66.71,85.70,986.61,322.30,531.00,5396.43,926.11,1440.00,10054.11,300.75,522.00,4711.41,198.29,698.00,14802.63
0.00,6084.00,49.59,17.03,55.59,899.10,18.06,31.32,445.43,11.80,15.90,148.99,25.00,37.30,321.28,140.05,286.00,2670.76,193.70,395.00,3216.09,33.28,104.00,2034.61
0.00,20198.25,82.26,260.75,606.29,9918.87,285.31,622.80,10806.56,46.32,66.80,1002.12,140.94,239.00,2974.99,696.14,1540.00,15421.52,470.18,1210.00,14591.51,159.07,644.00,19570.08
0.00,461.26,62.39,53.93,137.63,2366.42,44.54,85.61,1137.09,8.00,11.20,133.06,8.71,15.50,286.41,57.16,105.00,1345.72,137.88,232.00,2517.58,52.05,191.00,5083.79
0.00,3994.52,62.39,59.92,181.88,4297.51,74.45,128.04,1908.10,25.52,38.40,638.65,50.52,79.30,623.49,149.15,367.00,4754.72,234.57,775.00,8722.89,70.00,242.00,4521.14
0.00,5632.98,91.02,336.15,836.59,12366.00,84.39,177.81,3226.34,35.41,52.70,929.24,66.11,90.90,1099.05,380.33,881.00,9871.80,388.10,758.00,8426.91,207.01,1570.00,46192.90
0.00,6340.00,91.02,75.86,201.66,4046.87,96.42,152.17,2288.01,15.97,27.40,348.61,52.74,159.00,2508.96,228.67,593.00,4499.35,215.87,743.00,7382.80,84.91,342.00,5993.27
1.00,45100.96,56.12,352.07,908.86,13121.61,259.37,495.62,8752.40,149.92,217.00,2496.93,468.88,835.00,7939.98,876.93,2510.00,27717.93,630.55,2140.00,22566.68,477.45,2410.00,46997.41
1.00,20.35,83.53,49.93,131.79,3436.05,82.61,136.91,2513.72,39.03,69.00,1277.92,10.92,23.00,335.61,39.48,155.00,2690.78,113.04,481.00,4984.33,47.79,228.00,4716.73
0.00,17183.55,64.19,136.76,363.26,7720.29,240.67,443.57,7736.30,53.42,80.10,1449.30,81.52,121.00,1032.73,162.37,356.00,5759.01,353.14,855.00,7650.75,137.88,446.00,6946.78
0.00,9233.37,64.19,178.32,469.79,9295.05,251.61,496.20,8518.66,82.14,131.00,1411.05,125.02,263.00,2899.76,304.53,730.00,6488.65,225.71,538.00,6309.46,148.22,594.00,13493.58
0.00,7167.27,58.43,34.24,86.51,1373.92,36.44,65.13,910.25,9.72,15.90,205.35,21.32,41.50,548.64,64.92,176.00,2449.93,116.92,305.00,3176.23,43.31,194.00,4311.88
0.00,3691.31,76.19,21.98,53.17,987.87,37.82,69.14,1141.66,16.75,42.30,732.43,2.46,5.92,143.68,2.04,4.54,88.87,4.60,15.30,320.44,12.08,53.40,1805.96
1.00,36380.81,74.81,496.55,1415.74,21989.84,125.10,272.70,6277.91,92.68,122.00,1916.01,448.16,999.00,11872.67,758.48,2050.00,16465.11,721.12,2910.00,68895.97,1076.83,6920.00,121082.81
1.00,40000.00,74.81,14.18,38.40,983.78,23.19,35.74,704.23,8.96,18.60,340.83,1.74,3.08,66.14,1.17,2.77,43.77,3.74,9.23,94.43,7.68,25.50,402.41
0.00,659.63,84.33,13.02,33.50,620.11,17.25,29.64,498.51,8.16,15.50,249.60,1.60,3.75,75.53,1.37,3.28,54.02,6.08,22.50,416.92,10.21,46.00,716.11
0.00,40642.56,76.58,18.99,49.60,1045.89,20.83,36.87,699.68,8.19,19.10,416.61,1.87,2.87,82.82,2.19,4.00,63.82,7.12,17.50,228.88,20.30,86.90,1633.59
0.00,8657.87,84.03,141.11,360.69,6342.38,216.28,378.48,4395.50,101.20,160.00,1741.01,194.41,370.00,4558.70,501.68,1590.00,14865.02,286.17,811.00,10232.70,76.29,413.00,10755.73
