failure,weight,vel,mean1k_max,std1k_max,max1k_max,mean512_max,std512_max,max512_max,mean256_max,std256_max,max256_max,mean128_max,std128_max,max128_max,mean64_max,std64_max,max64_max,mean32_max,std32_max,max32_max,mean16_max,std16_max,max16_max
0.00,763.15,88.26,23.77,65.97,1375.14,15.52,24.56,378.51,5.01,8.22,154.92,8.03,17.00,184.47,19.84,63.40,1133.12,83.97,281.00,3389.96,54.75,172.00,2471.57
0.00,456.86,77.12,15.66,39.77,1078.19,16.93,27.74,517.39,7.22,8.45,89.62,17.43,42.00,486.41,57.24,128.00,1205.61,79.05,153.00,1481.76,39.43,120.00,1574.53
0.00,514.61,83.10,27.92,70.29,1267.17,24.34,51.52,1051.19,13.08,21.80,238.30,45.65,88.90,650.57,88.56,211.00,2667.48,148.27,305.00,2870.01,48.76,146.00,2199.10
0.00,19209.96,76.59,173.08,410.07,8197.36,409.08,780.04,12220.55,70.14,116.00,1631.51,120.52,226.00,2524.05,334.03,750.00,5837.98,274.37,712.00,5448.49,111.06,596.00,17131.19
1.00,19209.96,72.32,85.49,238.85,3857.27,121.69,245.96,4211.77,36.43,101.00,1515.91,56.13,113.00,1478.19,247.76,757.00,10652.50,497.72,1540.00,13776.02,152.61,497.00,7604.66
0.00,843.85,72.58,79.52,211.01,3761.85,108.86,184.97,3243.74,31.97,63.40,1262.49,9.72,18.10,313.27,17.98,48.20,946.51,47.53,158.00,1820.06,37.01,126.00,4046.06
0.00,832.85,85.66,79.43,198.21,4328.00,98.39,158.72,2780.39,26.23,53.00,976.98,9.77,22.00,483.76,15.28,31.00,365.30,51.25,181.00,2551.21,86.67,322.00,5796.85
1.00,12463.37,25.81,16.33,63.56,1287.51,100.79,200.05,2445.19,23.78,37.90,520.52,39.17,103.00,1425.99,240.91,904.00,13810.44,364.01,1320.00,13599.96,52.43,288.00,8865.84
0.00,19209.96,30.89,78.51,196.96,3805.32,113.38,180.16,3471.51,39.34,74.20,1354.82,28.58,60.90,788.67,52.64,149.00,2392.68,190.21,588.00,7035.42,82.38,334.00,6220.61
0.00,8840.33,38.31,247.07,613.12,9828.44,418.12,782.74,13559.32,44.21,77.70,1447.72,121.51,293.00,4788.92,780.83,2300.00,29446.48,901.01,2610.00,28709.89,309.49,1120.00,15642.53
0.00,186.87,38.76,79.21,204.80,6026.87,107.15,170.07,2326.44,22.26,45.70,1172.66,11.23,25.30,457.21,23.57,76.10,1392.46,93.63,393.00,5042.57,52.13,273.00,6830.96
0.00,19209.96,39.06,57.97,146.71,2791.78,143.54,260.54,3665.28,50.54,76.30,890.39,69.74,125.00,1379.77,149.72,290.00,2527.45,271.74,661.00,5344.87,68.93,245.00,5423.02
0.00,19209.96,34.19,180.71,457.25,8980.32,290.67,456.97,6467.29,56.22,129.00,2955.50,69.72,139.00,2161.57,276.60,840.00,12231.04,415.18,1460.00,14748.00,144.31,544.00,11856.13
0.00,3179.75,39.60,79.34,191.19,2561.34,114.03,213.31,2973.01,25.98,50.20,1268.40,25.98,44.20,504.72,60.31,144.00,1450.20,78.00,256.00,2937.61,45.06,193.00,8340.35
0.00,3682.03,40.36,246.98,603.97,8075.36,264.08,467.79,8011.96,231.57,272.00,2526.76,741.82,1280.00,11706.21,1763.75,3490.00,27267.98,939.80,2320.00,19766.18,270.47,941.00,16051.37
0.00,832.25,36.65,60.57,182.15,3403.69,43.06,84.64,1272.65,9.29,21.20,347.57,7.11,20.10,348.21,15.09,53.60,709.26,42.19,217.00,4378.16,58.10,333.00,5390.47
0.00,1033.84,41.01,137.42,403.01,7680.54,86.87,185.03,3656.79,44.89,68.10,685.29,89.20,173.00,2105.02,363.05,996.00,12627.61,307.79,1210.00,13440.02,96.69,364.00,8025.29
0.00,9564.84,13.69,381.71,958.18,13739.45,311.66,639.34,11177.01,181.62,230.00,1991.14,611.65,1220.00,13326.94,1460.44,2880.00,20653.15,500.59,1530.00,18289.02,245.87,1170.00,24529.62
0.00,6511.87,14.54,156.62,379.96,4868.67,204.30,332.29,4315.64,154.42,216.00,2058.12,235.41,443.00,5003.64,973.61,1860.00,13981.75,362.09,922.00,10317.76,108.57,445.00,12105.61
1.00,9564.84,15.78,482.91,1403.61,27197.44,398.61,800.70,15419.56,183.55,237.00,2501.47,335.61,498.00,4731.66,560.53,1070.00,8356.72,316.56,714.00,6212.32,278.18,1300.00,38045.06
0.00,9564.84,37.38,47.07,122.82,2076.43,93.28,156.36,2247.57,20.92,33.00,517.82,27.74,57.20,651.37,79.74,169.00,1399.16,107.87,455.00,9699.31,101.36,724.00,13794.46
0.00,843.85,45.29,41.81,118.36,2301.61,64.16,96.76,2611.42,24.10,52.80,1055.24,9.97,17.20,290.10,24.34,57.70,843.75,79.88,212.00,1717.96,55.04,382.00,8307.19
