,no,distance,accerelation_L,accerelation_R,velocity
1,11471730,48669.0987596,6.41308,-8.60202,
2,11471731,48669.0887647,6.37657,-2.34449,
3,11471732,48669.0787698,4.40335,3.29881,
4,11471733,48669.0687749,3.13975,7.22987,
5,11471734,48669.05878,1.36842,7.83338,
6,11471735,48669.0487851,0.196457,4.210780000000001,
7,11471736,48669.03879019999,-0.8312129999999999,1.87575,
8,11471737,48669.0287953,-1.4594799999999999,-0.9434549999999999,
9,11471738,48669.0188004,-1.69816,-4.07848,
10,11471739,48669.0088055,-3.08409,-2.88961,
11,11471740,48668.9988106,-3.4478199999999997,-1.02901,
12,11471741,48668.988815699995,-5.5443,-0.637829,
13,11471742,48668.9788208,-7.75772,-0.47266499999999995,
14,11471743,48668.9688259,-5.30473,2.67105,
15,11471744,48668.958831,-1.17967,5.29288,
16,11471745,48668.9488361,3.02736,5.3078,
17,11471746,48668.9388412,0.474236,2.54014,
18,11471747,48668.928846300005,2.8184099999999996,0.0725852,
19,11471748,48668.9188514,7.39173,0.310019,
20,11471749,48668.9088565,11.9136,0.167194,
21,11471750,48668.8988616,4.80866,-0.13789500000000002,59.0164
22,11471751,48668.8888667,1.2670000000000001,0.925358,
23,11471752,48668.87887180001,-1.8085900000000001,2.74548,
24,11471753,48668.8688769,-3.7878199999999995,0.846807,
25,11471754,48668.858882,-2.92562,-3.43327,
26,11471755,48668.8488871,-1.98597,-6.06901,
27,11471756,48668.8388922,-2.87384,-5.90496,
28,11471757,48668.8288973,-4.6792,-6.4475,
29,11471758,48668.8189024,-2.83656,-4.49089,
30,11471759,48668.808907499995,-4.85351,-1.2746899999999999,
31,11471760,48668.798912599996,-5.07402,2.7443400000000002,
32,11471761,48668.788917699996,-2.89684,5.73396,
33,11471762,48668.7789227,-2.6869,6.67565,
34,11471763,48668.7689278,-2.84689,6.5035300000000005,
35,11471764,48668.7589329,3.5127800000000002,6.37213,
36,11471765,48668.748938,6.85526,4.77255,
37,11471766,48668.7389431,9.31127,1.13931,
38,11471767,48668.7289482,11.4795,-0.35670799999999997,
39,11471768,48668.718953300006,8.16085,0.447049,
40,11471769,48668.7089584,2.50507,0.570815,
41,11471770,48668.6989635,-2.50737,0.907551,
42,11471771,48668.6889686,-5.69505,1.9189900000000002,
43,11471772,48668.6789737,-7.95167,-0.8868940000000001,
44,11471773,48668.66897880001,-7.351839999999999,-3.17409,
45,11471774,48668.6589839,-5.67777,-5.54101,
46,11471775,48668.648989,-4.4435199999999995,-7.040089999999999,59.2755
47,11471776,48668.6389941,-3.8869,-7.6973899999999995,
48,11471777,48668.6289992,-0.8378610000000001,-5.3958,
49,11471778,48668.6190043,-1.03166,-3.69971,
50,11471779,48668.6090094,-1.70165,-3.6147,
51,11471780,48668.599014499996,0.5478729999999999,0.9243450000000001,
52,11471781,48668.5890196,2.86335,7.75495,
53,11471782,48668.5790247,1.8283599999999998,7.5446100000000005,
54,11471783,48668.569029800005,1.61834,6.32226,
55,11471784,48668.559034900005,1.90218,7.09495,
56,11471785,48668.54904,1.2411299999999998,6.22651,
57,11471786,48668.5390451,1.3492,3.3835900000000003,
58,11471787,48668.5290502,1.43956,1.11489,
59,11471788,48668.51905530001,-2.90423,-0.8771059999999999,
60,11471789,48668.5090604,-6.40285,-5.27864,
61,11471790,48668.4990655,-5.79648,-9.81507,
62,11471791,48668.4890706,-5.0418199999999995,-11.2923,
63,11471792,48668.479075699994,-9.28007,-13.5878,
64,11471793,48668.4690808,-11.2001,-15.6686,
65,11471794,48668.4590859,-8.10692,-11.4856,
66,11471795,48668.449091,-0.921594,-4.92908,
67,11471796,48668.439096099995,7.17213,-4.5233099999999995,
68,11471797,48668.429101199996,13.4043,2.10072,
69,11471798,48668.4191063,15.0262,18.4557,
70,11471799,48668.409111400004,15.8004,28.5784,
71,11471800,48668.399116500004,15.5619,26.6415,59.2755
72,11471801,48668.3891215,12.9015,13.5099,
73,11471802,48668.3791266,4.05904,3.95568,
74,11471803,48668.3691317,-1.50781,-0.104477,
75,11471804,48668.359136800005,-6.32377,-1.06351,
76,11471805,48668.349141900006,-11.7036,4.66913,
77,11471806,48668.339147000006,-18.0287,3.97864,
78,11471807,48668.3291521,-18.322,-6.596439999999999,
79,11471808,48668.3191572,-18.05,-17.4504,
80,11471809,48668.3091623,-13.8705,-25.4839,
81,11471810,48668.2991674,-11.2056,-27.9457,
82,11471811,48668.2891725,-4.18674,-15.5715,
83,11471812,48668.279177599994,3.8473599999999997,0.965799,
84,11471813,48668.269182699994,8.82596,6.5824300000000004,
85,11471814,48668.2591878,7.215839999999999,5.08781,
86,11471815,48668.2491929,7.720339999999999,6.67163,
87,11471816,48668.239198,14.4421,10.2748,
88,11471817,48668.229203099996,19.1766,10.8374,
89,11471818,48668.2192082,16.2952,4.62,
90,11471819,48668.209213300004,7.031860000000001,3.3171699999999995,
91,11471820,48668.199218400005,2.09001,7.2030199999999995,
92,11471821,48668.189223500005,-2.09994,7.059410000000001,
93,11471822,48668.1792286,-8.557310000000001,0.810631,
94,11471823,48668.1692337,-14.6668,-7.168189999999999,
95,11471824,48668.1592388,-16.6097,-10.064,
96,11471825,48668.1492439,-12.9809,-11.4935,59.0164
97,11471826,48668.139249,-9.65587,-8.352139999999999,
98,11471827,48668.1292541,-6.85809,-3.66626,
99,11471828,48668.11925919999,-2.6951400000000003,0.5246029999999999,
100,11471829,48668.1092643,1.65989,2.01281,
101,11471830,48668.0992694,5.71025,2.24974,
102,11471831,48668.0892745,10.7079,5.50913,
103,11471832,48668.0792796,12.5708,8.490730000000001,
104,11471833,48668.069284699995,12.3638,8.579139999999999,
105,11471834,48668.0592898,8.56085,6.87179,
106,11471835,48668.0492949,8.77615,4.21258,
107,11471836,48668.0393,9.56867,4.71814,
108,11471837,48668.0293051,10.0617,4.4048099999999994,
109,11471838,48668.0193102,5.99001,-0.034492,
110,11471839,48668.0093152,1.92238,-5.42915,
111,11471840,48667.9993203,0.8443209999999999,-7.0399,
112,11471841,48667.9893254,-0.444237,-6.38517,
113,11471842,48667.9793305,-2.52546,-6.17129,
114,11471843,48667.9693356,-4.78005,-4.0766599999999995,
115,11471844,48667.95934069999,-3.4369699999999996,0.0534477,
116,11471845,48667.9493458,-4.80196,1.59815,
117,11471846,48667.9393509,-3.5790800000000003,0.0946598,
118,11471847,48667.929356,-3.1943,0.40224499999999996,
119,11471848,48667.9193611,-0.503252,0.309719,
120,11471849,48667.909366199994,1.71897,0.15094200000000002,
121,11471850,48667.89937130001,4.692819999999999,0.394762,59.2755
122,11471851,48667.8893764,6.07983,0.7198720000000001,
123,11471852,48667.8793815,6.47412,1.94111,
124,11471853,48667.8693866,7.28494,3.06199,
125,11471854,48667.859391699996,8.396,2.70695,
126,11471855,48667.849396800004,7.488289999999999,-0.155839,
127,11471856,48667.8394019,6.4396,-3.05511,
128,11471857,48667.829407,3.43284,-4.82643,
129,11471858,48667.8194121,3.4596699999999996,-3.3816300000000004,
130,11471859,48667.8094172,1.4502899999999999,-0.367772,
131,11471860,48667.799422300006,1.6853900000000002,1.51826,
132,11471861,48667.7894274,-0.954003,1.112,
133,11471862,48667.7794325,-3.9670900000000002,-0.0726885,
134,11471863,48667.7694376,-6.33555,-0.41224399999999994,
135,11471864,48667.7594427,-5.740469999999999,-1.3155299999999999,
136,11471865,48667.74944780001,-1.64485,-2.1101799999999997,
137,11471866,48667.7394529,0.8086949999999999,-1.24406,
138,11471867,48667.729458,1.5665200000000001,1.48797,
139,11471868,48667.719463099995,1.58192,3.2369,
140,11471869,48667.709468199995,0.446507,2.0390099999999998,
141,11471870,48667.6994733,-0.398327,-0.762705,
142,11471871,48667.6894784,-1.7580099999999999,-0.537165,
143,11471872,48667.6794835,0.34615300000000004,-0.37835100000000005,
144,11471873,48667.6694886,2.1799,-1.48675,
145,11471874,48667.6594937,4.08724,-1.49777,
146,11471875,48667.649498800005,2.07787,2.41938,59.2755
147,11471876,48667.639503900005,-3.0101400000000003,2.55,
148,11471877,48667.629509,-5.9091,2.45288,
149,11471878,48667.619514,-5.278490000000001,2.06046,
150,11471879,48667.6095191,-4.04686,-1.35515,
151,11471880,48667.5995242,-0.974057,-6.21635,
152,11471881,48667.58952930001,2.32045,-3.6504800000000004,
153,11471882,48667.57953440001,4.52731,-2.00457,
154,11471883,48667.5695395,3.55407,-3.6828300000000005,
155,11471884,48667.5595446,3.6518300000000004,-4.4063,
156,11471885,48667.5495497,2.8477799999999998,-1.46689,
157,11471886,48667.5395548,4.39698,0.590025,
158,11471887,48667.5295599,6.37512,4.63504,
159,11471888,48667.519564999995,4.7874099999999995,7.504810000000001,
160,11471889,48667.509570099995,-2.0693799999999998,4.10303,
161,11471890,48667.499575199996,-7.14969,-0.181081,
162,11471891,48667.4895803,-6.87863,1.31989,
163,11471892,48667.479585400004,-6.48054,-1.74968,
164,11471893,48667.4695905,-7.61428,-4.8805,
165,11471894,48667.4595956,-6.46811,-3.1240900000000003,
166,11471895,48667.4496007,-6.8120899999999995,-0.958875,
167,11471896,48667.439605800006,-6.71046,-0.7506619999999999,
168,11471897,48667.429610900006,-2.8242700000000003,3.4903699999999995,
169,11471898,48667.419616,-3.61156,2.07501,
170,11471899,48667.4096211,-3.4797599999999997,-1.9428599999999998,
171,11471900,48667.3996262,0.6815260000000001,-1.21769,59.0164
172,11471901,48667.3896313,9.47819,-0.0373289,
173,11471902,48667.3796364,9.35828,-4.23896,
174,11471903,48667.3696415,6.03014,-6.32912,
175,11471904,48667.359646599994,2.3841900000000003,-0.868715,
176,11471905,48667.349651699995,1.02072,3.8039199999999997,
177,11471906,48667.3396568,-0.323144,4.02083,
178,11471907,48667.3296619,-4.18388,-1.54919,
179,11471908,48667.319667,-3.96472,-1.53946,
180,11471909,48667.3096721,-4.27718,1.01803,
181,11471910,48667.2996772,-5.081919999999999,0.8506299999999999,
182,11471911,48667.289682300005,-6.17582,-1.3783100000000001,
183,11471912,48667.2796874,-6.538880000000001,-2.57255,
184,11471913,48667.2696925,-6.275,-0.062341999999999995,
185,11471914,48667.2596976,-4.79068,-0.513124,
186,11471915,48667.24970269999,-2.1876900000000004,-2.10732,
187,11471916,48667.2397077,-0.292062,0.223958,
188,11471917,48667.2297128,0.74085,3.218,
189,11471918,48667.2197179,1.90769,6.0214300000000005,
190,11471919,48667.209723,3.2438599999999997,5.768669999999999,
191,11471920,48667.19972809999,2.89398,3.39071,
192,11471921,48667.18973319999,3.04239,2.8483099999999997,
193,11471922,48667.1797383,5.99868,4.73217,
194,11471923,48667.1697434,3.6947400000000004,2.21054,
195,11471924,48667.1597485,1.4784,-0.0211226,
196,11471925,48667.1497536,1.35135,0.61239,59.2755
197,11471926,48667.139758699996,1.06125,2.3235,
198,11471927,48667.1297638,-5.61111,0.842224,
199,11471928,48667.119768900004,-7.917160000000001,-1.95363,
200,11471929,48667.109774000004,-5.92976,1.6329799999999999,
201,11471930,48667.0997791,-5.75724,2.81371,
202,11471931,48667.0897842,-7.7288,3.70736,
203,11471932,48667.0797893,-7.7017,3.9489300000000003,
204,11471933,48667.0697944,-11.2618,4.62826,
205,11471934,48667.0597995,-11.2813,-0.153193,
206,11471935,48667.0498046,-3.56125,1.19335,
207,11471936,48667.03980969999,-1.5022799999999998,3.5191800000000004,
208,11471937,48667.0298148,-1.38531,2.98292,
209,11471938,48667.0198199,0.20039200000000001,2.3239400000000003,
210,11471939,48667.009825,3.12184,2.31213,
211,11471940,48666.9998301,4.87246,-0.341518,
212,11471941,48666.9898352,10.2932,-2.58533,
213,11471942,48666.9798403,12.8292,-5.08938,
214,11471943,48666.9698454,7.914810000000001,-8.01426,
215,11471944,48666.9598505,5.56818,-7.47359,
216,11471945,48666.949855599996,3.54339,-3.19328,
217,11471946,48666.9398607,-2.7920599999999998,-2.71429,
218,11471947,48666.929865800004,1.9577900000000001,-2.57623,
219,11471948,48666.9198709,5.75035,2.15243,
220,11471949,48666.909876,3.54805,0.251381,
221,11471950,48666.8998811,-1.87057,-4.13774,59.3407
222,11471951,48666.8898862,-3.17387,-3.65461,
223,11471952,48666.87989130001,-7.956239999999999,-5.61048,
224,11471953,48666.8698964,-7.115069999999999,-7.69675,
225,11471954,48666.8599015,0.937135,0.932649,
226,11471955,48666.8499065,0.846284,7.27425,
227,11471956,48666.8399116,-4.06921,7.5640600000000004,
228,11471957,48666.8299167,-2.65452,6.00759,
229,11471958,48666.81992180001,-6.09779,6.05169,
230,11471959,48666.8099269,-7.6255,-1.8331,
231,11471960,48666.799932,-1.35265,-0.926741,
232,11471961,48666.7899371,2.8477200000000003,0.144202,
233,11471962,48666.7799422,0.5903390000000001,-0.194411,
234,11471963,48666.7699473,0.456546,-0.928983,
235,11471964,48666.759952399996,0.5069640000000001,3.3826699999999996,
236,11471965,48666.7499575,-1.6761599999999999,1.6347399999999999,
237,11471966,48666.7399626,-0.425538,1.8376299999999999,
238,11471967,48666.7299677,4.65191,0.340015,
239,11471968,48666.719972800005,4.38288,-2.51602,
240,11471969,48666.709977900005,6.723439999999999,-8.54602,
241,11471970,48666.699983,7.8926300000000005,-4.93095,
242,11471971,48666.6899881,2.25103,-5.16856,
243,11471972,48666.6799932,-2.9781400000000002,-4.23739,
244,11471973,48666.66999830001,-1.03986,-1.33369,
245,11471974,48666.6600034,2.08985,2.60285,
246,11471975,48666.6500085,4.71925,1.7276200000000002,59.0164
247,11471976,48666.6400136,6.377730000000001,0.8069430000000001,
248,11471977,48666.630018699994,3.65501,-1.09633,
249,11471978,48666.6200238,2.34705,-2.0491200000000003,
250,11471979,48666.6100289,2.02435,-0.338049,
251,11471980,48666.600033999996,5.44897,-0.45163100000000006,
252,11471981,48666.590039099996,5.3764400000000006,0.604151,
253,11471982,48666.580044199996,1.7936299999999998,-0.196429,
254,11471983,48666.570049300004,-0.38534,0.303719,
255,11471984,48666.560054400004,-1.31904,1.2749,
256,11471985,48666.550059500005,-2.26261,2.1143099999999997,
257,11471986,48666.5400646,-3.44676,0.87074,
258,11471987,48666.5300697,-2.64292,-2.0781400000000003,
259,11471988,48666.520074800006,1.08641,-1.55037,
260,11471989,48666.5100799,3.89817,-1.6887599999999998,
261,11471990,48666.500085,5.15434,-2.54277,
262,11471991,48666.49009009999,2.84964,-1.2481799999999998,
263,11471992,48666.48009519999,4.26751,0.7311380000000001,
264,11471993,48666.4701002,8.32785,2.27639,
265,11471994,48666.4601053,11.8391,0.208639,
266,11471995,48666.4501104,8.323189999999999,-0.174242,
267,11471996,48666.440115499994,2.19385,-0.5790420000000001,
268,11471997,48666.430120599995,-1.72052,1.07495,
269,11471998,48666.420125699995,-3.97798,0.83299,
270,11471999,48666.4101308,-5.0656099999999995,-2.18301,
271,11472000,48666.4001359,-5.01422,-0.337604,59.3407
272,11472001,48666.390141,-3.2734400000000003,0.191302,
273,11472002,48666.3801461,-1.8480400000000001,2.2996,
274,11472003,48666.3701512,-5.65992,-0.44551,
275,11472004,48666.360156300005,-6.861560000000001,-1.2899399999999999,
276,11472005,48666.350161400005,-7.2851300000000005,-4.16202,
277,11472006,48666.340166500006,-5.9663699999999995,-2.53241,
278,11472007,48666.3301716,-1.30056,1.85395,
279,11472008,48666.3201767,1.0974,4.8299900000000004,
280,11472009,48666.3101818,0.793502,3.7434800000000004,
281,11472010,48666.3001869,-1.1143100000000001,4.0823,
282,11472011,48666.290192,3.0659400000000003,3.8496699999999997,
283,11472012,48666.28019709999,4.00189,2.0912,
284,11472013,48666.270202199994,0.387313,1.37414,
285,11472014,48666.2602073,-1.7857,2.90712,
286,11472015,48666.2502124,-1.29169,1.6022399999999999,
287,11472016,48666.2402175,1.50617,-0.497201,
288,11472017,48666.2302226,2.76436,-2.91467,
289,11472018,48666.220227699996,6.05599,-3.8397699999999997,
290,11472019,48666.210232800004,2.12535,-5.2166,
291,11472020,48666.200237900004,1.39845,-6.58277,
292,11472021,48666.190243,0.0959665,-1.07227,
293,11472022,48666.1802481,0.851138,-0.0854095,
294,11472023,48666.1702532,-0.576343,1.58861,
295,11472024,48666.1602583,-1.307,1.88178,
296,11472025,48666.1502634,-0.9229639999999999,2.83945,59.3407
297,11472026,48666.1402685,-2.64318,-0.361039,
298,11472027,48666.1302736,-3.4100599999999996,-0.415188,
299,11472028,48666.12027869999,-0.45588199999999995,0.492742,
300,11472029,48666.11028380001,-0.343888,-0.813134,
301,11472030,48666.1002889,-0.641067,-2.54854,
302,11472031,48666.090294,-3.88717,1.2797100000000001,
303,11472032,48666.080299,-5.3217300000000005,1.03178,
304,11472033,48666.0703041,-5.94091,0.442168,
305,11472034,48666.060309199995,-1.6048,0.431725,
306,11472035,48666.0503143,1.40773,-0.07218610000000002,
307,11472036,48666.0403194,1.0427799999999998,-2.97436,
308,11472037,48666.0303245,-2.85447,-4.51434,
309,11472038,48666.0203296,0.371469,-2.92392,
310,11472039,48666.0103347,1.41014,-0.967391,
311,11472040,48666.0003398,2.43758,1.68333,
312,11472041,48665.9903449,1.55621,4.74215,
313,11472042,48665.98035,0.00473806,3.5527,
314,11472043,48665.9703551,0.09141469999999999,2.67734,
315,11472044,48665.9603602,3.18053,1.4832100000000001,
316,11472045,48665.95036530001,5.02471,0.321782,
317,11472046,48665.9403704,4.0735,0.460737,
318,11472047,48665.9303755,0.608631,0.456575,
319,11472048,48665.9203806,-0.71372,0.216131,
320,11472049,48665.9103857,-3.18233,0.835316,
321,11472050,48665.90039080001,-0.180457,0.7932939999999999,59.3407
322,11472051,48665.8903959,-0.74971,-0.510274,
323,11472052,48665.880401,-2.93989,-3.29014,
324,11472053,48665.8704061,-3.4175800000000005,-6.80117,
325,11472054,48665.860411199996,-4.55366,-7.21449,
326,11472055,48665.8504163,-3.20052,-4.5166900000000005,
327,11472056,48665.8404214,-3.62826,-0.483587,
328,11472057,48665.8304265,-3.89275,1.63963,
329,11472058,48665.8204316,-3.0950599999999997,1.03349,
330,11472059,48665.8104367,-2.05693,3.0401700000000003,
331,11472060,48665.800441800006,-0.9676030000000001,3.4127400000000003,
332,11472061,48665.790446900006,0.033123,1.13942,
333,11472062,48665.780452,-1.03604,-3.16702,
334,11472063,48665.7704571,-2.95644,-4.14116,
335,11472064,48665.7604622,-1.75695,-3.2999300000000003,
336,11472065,48665.7504673,-3.20267,-2.82897,
337,11472066,48665.7404724,4.05359,3.6693599999999997,
338,11472067,48665.7304775,16.9979,19.5578,
339,11472068,48665.720482599994,14.2118,19.2649,
340,11472069,48665.710487699995,10.4216,10.0614,
341,11472070,48665.7004927,8.30844,1.0872700000000002,
342,11472071,48665.6904978,8.01062,-8.09882,
343,11472072,48665.6805029,6.67179,-5.61978,
344,11472073,48665.670507999996,1.1264,2.78865,
345,11472074,48665.660513099996,-12.9596,10.1639,
346,11472075,48665.6505182,-13.8958,8.79814,59.3407
347,11472076,48665.640523300004,-11.4883,2.53255,
348,11472077,48665.630528400005,-12.5876,-9.37021,
349,11472078,48665.6205335,-8.96877,-18.8466,
350,11472079,48665.6105386,-4.89674,-20.425,
351,11472080,48665.6005437,-4.28929,-17.0916,
352,11472081,48665.590548800006,-3.8263300000000005,-10.0961,
353,11472082,48665.58055390001,-3.54452,1.2353399999999999,
354,11472083,48665.570559,-4.0814900000000005,7.0583100000000005,
355,11472084,48665.5605641,-3.09936,9.40933,
356,11472085,48665.5505692,4.49717,10.6531,
357,11472086,48665.5405743,9.44512,4.91859,
358,11472087,48665.5305794,11.5106,1.9609999999999999,
359,11472088,48665.5205845,14.9587,3.0905400000000003,
360,11472089,48665.510589599995,17.0292,9.45001,
361,11472090,48665.500594699995,12.1082,9.3104,
362,11472091,48665.4905998,3.5613599999999996,13.6891,
363,11472092,48665.4806049,-0.475714,17.2654,
364,11472093,48665.470610000004,-3.87722,7.495369999999999,
365,11472094,48665.4606151,-2.91649,-5.05451,
366,11472095,48665.4506202,-3.19843,-11.5902,
367,11472096,48665.440625300005,-7.532660000000001,-19.8254,
368,11472097,48665.430630400006,-7.68232,-19.0229,
369,11472098,48665.4206355,-2.76003,-14.4119,
370,11472099,48665.4106406,-7.55653,-11.3156,
371,11472100,48665.40064569999,-10.264000000000001,-12.9758,59.3407
372,11472101,48665.3906508,-3.69195,-5.40425,
373,11472102,48665.3806559,1.55984,1.25842,
374,11472103,48665.370661,6.723960000000001,2.73529,
375,11472104,48665.3606661,16.4224,5.28426,
376,11472105,48665.350671199994,16.2954,10.0601,
377,11472106,48665.3406763,13.1973,10.5894,
378,11472107,48665.3306814,11.7588,14.8366,
379,11472108,48665.3206864,10.9731,15.2372,
380,11472109,48665.3106915,2.7044599999999996,13.2657,
381,11472110,48665.300696599996,2.46774,8.22355,
382,11472111,48665.290701699996,2.0049799999999998,3.4652,
383,11472112,48665.280706800004,-7.148619999999999,-5.11526,
384,11472113,48665.270711900004,-9.22133,-12.2141,
385,11472114,48665.260717000005,-8.24376,-12.5306,
386,11472115,48665.2507221,-7.6111699999999995,-15.1638,
387,11472116,48665.2407272,-7.81145,-18.5458,
388,11472117,48665.2307323,-6.34326,-9.947189999999999,
389,11472118,48665.2207374,-5.7836099999999995,-3.9871199999999996,
390,11472119,48665.2107425,-2.27211,0.75781,
391,11472120,48665.2007476,1.4838200000000001,6.856210000000001,
392,11472121,48665.19075269999,4.5534300000000005,12.9608,
393,11472122,48665.1807578,4.6524,9.85972,
394,11472123,48665.1707629,9.2361,10.142999999999999,
395,11472124,48665.160768,9.42068,11.4937,
396,11472125,48665.1507731,1.8515,6.39045,59.2755
397,11472126,48665.140778199995,-1.94947,2.79399,
398,11472127,48665.1307833,3.51295,3.37797,
399,11472128,48665.1207884,5.67514,2.1491,
400,11472129,48665.1107935,1.19541,-1.18723,
401,11472130,48665.1007986,-5.00515,-4.68654,
402,11472131,48665.0908037,-5.6426099999999995,-8.77783,
403,11472132,48665.080808800005,-8.09608,-8.67501,
404,11472133,48665.0708139,-8.13895,-9.40119,
405,11472134,48665.060819,-7.39319,-8.6869,
406,11472135,48665.0508241,-4.35246,-0.8481069999999999,
407,11472136,48665.0408292,-0.254773,1.21456,
408,11472137,48665.03083430001,0.48522600000000005,0.7042470000000001,
409,11472138,48665.0208394,3.2835199999999998,1.4253799999999999,
410,11472139,48665.0108445,4.133319999999999,5.1613,
411,11472140,48665.0008496,5.927569999999999,6.2240400000000005,
412,11472141,48664.9908547,4.86734,3.48975,
413,11472142,48664.9808598,7.6087,2.0366,
414,11472143,48664.9708649,8.27365,2.61381,
415,11472144,48664.960869999995,0.995649,1.9814599999999998,
416,11472145,48664.950875099996,-5.695930000000001,-1.79785,
417,11472146,48664.940880199996,-6.42189,-1.67097,
418,11472147,48664.9308852,-4.63718,-1.1017,
419,11472148,48664.9208903,-4.616680000000001,-1.9530299999999998,
420,11472149,48664.9108954,-4.10191,-3.33134,
