,no,distance,accerelation_L,accerelation_R,velocity
1,4215687,121096.190019,5.36918,-1.97543,
2,4215688,121096.18001400001,3.1410299999999998,1.1824,
3,4215689,121096.17000799999,4.1561900000000005,12.6061,
4,4215690,121096.160003,1.8365099999999999,13.5485,
5,4215691,121096.14999800001,-1.27096,5.06958,
6,4215692,121096.139993,-0.816709,-0.24628699999999998,
7,4215693,121096.12998800002,-2.29641,-3.63406,
8,4215694,121096.11998199999,-3.12413,3.59962,
9,4215695,121096.109977,-4.8088,10.1808,
10,4215696,121096.099972,-8.5033,7.302789999999999,
11,4215697,121096.089967,-3.94201,-1.7940200000000002,
12,4215698,121096.07996199999,-1.52211,-10.5612,
13,4215699,121096.06995599999,0.26870700000000003,-9.458260000000001,
14,4215700,121096.059951,2.75557,1.60984,75.1043
15,4215701,121096.049946,0.952625,3.7212300000000003,
16,4215702,121096.03994100001,1.578,4.232,
17,4215703,121096.02993599999,6.0424,7.60527,
18,4215704,121096.01993,2.96532,5.67939,
19,4215705,121096.009925,4.58288,5.3449599999999995,
20,4215706,121095.99992,4.97889,6.16357,
21,4215707,121095.98991500001,1.07549,3.5071800000000004,
22,4215708,121095.97991,3.37316,2.99022,
23,4215709,121095.969904,3.12561,0.405524,
24,4215710,121095.959899,1.16088,-10.136000000000001,
25,4215711,121095.949894,1.83875,-3.8832,
26,4215712,121095.93988900002,2.88604,2.5657900000000002,
27,4215713,121095.929884,-2.89565,11.6656,
28,4215714,121095.919878,-4.99372,9.70098,
29,4215715,121095.909873,-9.10803,5.45129,
30,4215716,121095.89986800001,-9.36974,-3.0958900000000003,
31,4215717,121095.88986300002,-6.5705,2.54855,
32,4215718,121095.87985799999,-7.576219999999999,2.0461099999999997,
33,4215719,121095.869852,-6.2681,-2.46873,
34,4215720,121095.859847,-0.20696900000000001,-4.61296,
35,4215721,121095.84984200001,-2.33783,-11.0867,
36,4215722,121095.83983699999,-3.89031,-7.57762,
37,4215723,121095.82983199999,-1.64533,-2.87162,
38,4215724,121095.819826,4.8411800000000005,1.80075,
39,4215725,121095.809821,11.125,-3.6103699999999996,75.419
40,4215726,121095.79981600001,8.82179,-6.85008,
41,4215727,121095.789811,5.78979,-8.19228,
42,4215728,121095.779805,3.75613,4.73975,
43,4215729,121095.7698,9.428180000000001,15.1358,
44,4215730,121095.759795,11.7326,16.9024,
45,4215731,121095.74979000002,15.9449,8.78396,
46,4215732,121095.73978499998,11.207,4.60036,
47,4215733,121095.729779,7.281280000000001,3.55418,
48,4215734,121095.719774,-2.59933,2.14742,
49,4215735,121095.70976900001,-4.73391,4.78003,
50,4215736,121095.699764,-8.59143,0.960802,
51,4215737,121095.68975899999,-8.35334,1.82159,
52,4215738,121095.679753,-8.580960000000001,-2.84808,
53,4215739,121095.669748,-10.9449,2.05715,
54,4215740,121095.65974300001,-13.0099,0.728671,
55,4215741,121095.64973800001,-12.2896,6.80668,
56,4215742,121095.63973299999,-8.70968,-3.9141199999999996,
57,4215743,121095.62972699999,-8.38159,-5.95634,
58,4215744,121095.619722,-4.52551,-9.8864,
59,4215745,121095.60971700001,-10.357000000000001,-8.320969999999999,
60,4215746,121095.599712,-6.84858,-14.8613,
61,4215747,121095.58970699999,-3.6671099999999996,-8.50357,
62,4215748,121095.579701,5.15624,-3.63595,
63,4215749,121095.569696,1.53096,-1.7820799999999999,
64,4215750,121095.559691,7.89848,6.43269,75.3138
65,4215751,121095.54968599998,-0.00352144,2.91684,
66,4215752,121095.539681,4.33941,3.09828,
67,4215753,121095.529675,4.46413,0.155263,
68,4215754,121095.51967000001,6.706639999999999,-0.864217,
69,4215755,121095.509665,7.643489999999999,2.80019,
70,4215756,121095.49965999999,8.074489999999999,1.62296,
71,4215757,121095.489655,4.28428,1.2879,
72,4215758,121095.479649,4.4110000000000005,-0.179476,
73,4215759,121095.46964400001,-0.00362796,2.62099,
74,4215760,121095.45963900001,0.13498,2.7879400000000003,
75,4215761,121095.44963399999,1.84047,13.8039,
76,4215762,121095.439629,0.687732,12.9933,
77,4215763,121095.429623,0.118209,4.68343,
78,4215764,121095.419618,-1.7546700000000002,-1.59169,
79,4215765,121095.40961300001,-6.4317400000000005,-3.68534,
80,4215766,121095.39960799999,-6.02349,0.20869200000000002,
81,4215767,121095.389603,-2.64272,8.98975,
82,4215768,121095.379597,-4.040430000000001,7.0303,
83,4215769,121095.369592,-2.95417,8.64913,
84,4215770,121095.35958699998,-10.5579,1.09056,
85,4215771,121095.349582,-1.27138,3.48435,
86,4215772,121095.33957699999,2.3263599999999998,1.8338599999999998,
87,4215773,121095.32957100001,-2.2838700000000003,-3.4458699999999998,
88,4215774,121095.319566,-1.9298799999999998,-4.3400099999999995,
89,4215775,121095.30956099999,-4.21772,-4.07198,75.0
90,4215776,121095.299556,-4.72042,1.62206,
91,4215777,121095.289551,-3.02107,4.436780000000001,
92,4215778,121095.279545,-6.2203800000000005,-0.251178,
93,4215779,121095.26954000001,-2.21833,-6.94853,
