,no,distance,accerelation_L,accerelation_R,velocity
1,15953715,4161.9,-3.9826699999999997,2.68362,
2,15953716,4161.89,-3.14558,2.17156,
3,15953717,4161.88,-0.28020700000000004,1.0861399999999999,
4,15953718,4161.87,2.59625,-1.20115,
5,15953719,4161.86,2.30994,0.0680959,
6,15953720,4161.85,0.499108,-0.6575439999999999,
7,15953721,4161.84,0.827067,-0.800221,
8,15953722,4161.83,1.02766,-1.26336,
9,15953723,4161.82,-0.241296,-2.65433,
10,15953724,4161.81,-1.43192,0.178264,
11,15953725,4161.8,-1.8989900000000002,0.28830900000000004,28.877
12,15953726,4161.79,-1.63772,-0.19805699999999998,
13,15953727,4161.78,-1.49627,-0.09882610000000001,
14,15953728,4161.77,0.712648,0.9019959999999999,
15,15953729,4161.76,2.11173,1.63018,
16,15953730,4161.75,0.8330790000000001,1.94229,
17,15953731,4161.74,-0.755054,-0.104925,
18,15953732,4161.73,-0.901065,-2.61178,
19,15953733,4161.72,-2.62506,-1.62863,
20,15953734,4161.71,-2.76235,-0.152402,
21,15953735,4161.7,-1.4600600000000001,0.5410689999999999,
22,15953736,4161.69,0.530758,1.62579,
23,15953737,4161.68,2.48722,0.81863,
24,15953738,4161.67,2.08238,0.19634400000000002,
25,15953739,4161.66,2.55674,-0.48764300000000005,
26,15953740,4161.65,1.3129,-2.2107099999999997,
27,15953741,4161.64,-1.16562,-2.15325,
28,15953742,4161.63,-2.6968799999999997,-0.5995189999999999,
29,15953743,4161.62,-2.20548,-1.3168,
30,15953744,4161.61,-0.656697,-1.9429299999999998,
31,15953745,4161.6,-0.0964452,0.5328510000000001,
32,15953746,4161.59,-0.6273770000000001,3.19638,
33,15953747,4161.58,-0.353763,4.23364,
34,15953748,4161.57,0.10699600000000001,1.1138299999999999,
35,15953749,4161.56,-0.100674,-0.794415,
36,15953750,4161.55,-0.637415,-2.4811799999999997,28.8925
37,15953751,4161.54,-1.38437,-1.4618,
38,15953752,4161.53,-1.33631,-0.734137,
39,15953753,4161.52,-0.781265,-0.981133,
40,15953754,4161.51,1.45814,0.44372799999999996,
41,15953755,4161.5,0.7735390000000001,1.11242,
42,15953756,4161.49,0.768497,1.1954,
43,15953757,4161.48,-1.10893,1.38065,
44,15953758,4161.47,-0.202031,0.553081,
45,15953759,4161.46,0.000750048,-1.71428,
46,15953760,4161.45,0.301735,-2.83338,
47,15953761,4161.44,0.0620747,-2.8079,
48,15953762,4161.43,-0.289901,-1.7294900000000002,
49,15953763,4161.42,0.32807600000000003,-0.307504,
50,15953764,4161.41,1.38741,-0.285619,
51,15953765,4161.4,0.543642,0.507285,
52,15953766,4161.39,-2.23817,1.87336,
53,15953767,4161.38,-1.9012900000000001,0.948084,
54,15953768,4161.37,-0.345979,-0.568521,
55,15953769,4161.36,-1.42267,-0.6476029999999999,
56,15953770,4161.35,-1.98131,-1.12206,
57,15953771,4161.34,-1.9012200000000001,-1.04225,
58,15953772,4161.33,0.268583,0.516827,
59,15953773,4161.32,0.9459489999999999,1.08532,
