,no,distance,accerelation_L,accerelation_R,velocity
1,5314736,110114.7905,3.79454,1.12332,
2,5314737,110114.780525,3.76997,-1.52093,
3,5314738,110114.77054900001,-2.9857299999999998,-0.209885,
4,5314739,110114.760573,-6.93463,-1.9554200000000002,
5,5314740,110114.750597,-8.31819,-6.86441,
6,5314741,110114.740621,-6.32296,-4.83871,
7,5314742,110114.730645,-5.00091,0.47518,
8,5314743,110114.72067000001,0.47248199999999996,2.2627900000000003,
9,5314744,110114.71069400001,2.49505,5.03031,
10,5314745,110114.70071800001,4.9458400000000005,6.84502,
11,5314746,110114.690742,2.01503,8.22363,
12,5314747,110114.680766,-0.8602690000000001,4.7369900000000005,
13,5314748,110114.67079,2.38377,1.62481,
14,5314749,110114.66081400002,0.996991,1.6641700000000001,
15,5314750,110114.65083900001,-2.2214,-2.42637,38.8769
16,5314751,110114.64086300001,-6.42101,-3.66995,
17,5314752,110114.63088699999,-2.35347,-6.53722,
18,5314753,110114.62091099999,-4.34286,-6.88209,
19,5314754,110114.61093499999,-1.8440599999999998,1.54916,
20,5314755,110114.60095899999,-6.35942,2.16635,
21,5314756,110114.59098299999,-4.99145,6.46622,
22,5314757,110114.581008,3.58788,8.35783,
23,5314758,110114.57103199999,2.45947,4.29228,
24,5314759,110114.56105599999,7.61079,-0.8304450000000001,
25,5314760,110114.55107999999,17.2321,-2.9346099999999997,
26,5314761,110114.54110399999,6.50369,-6.38034,
27,5314762,110114.531128,-0.887934,-1.5757,
28,5314763,110114.521153,6.86293,6.25672,
29,5314764,110114.511177,5.67011,7.046069999999999,
30,5314765,110114.50120099999,-2.53674,9.18205,
31,5314766,110114.491225,-5.77115,11.7511,
32,5314767,110114.481249,-6.46726,2.44703,
33,5314768,110114.471273,-8.93789,-3.01052,
34,5314769,110114.461297,-11.5884,-2.67936,
35,5314770,110114.45132200001,-12.1692,-6.9508,
36,5314771,110114.441346,-8.73419,-7.6403300000000005,
37,5314772,110114.43137,-5.38455,-2.6051900000000003,
38,5314773,110114.421394,3.52823,-2.5779099999999997,
39,5314774,110114.411418,7.48375,-1.50583,
40,5314775,110114.401442,14.6851,2.9074,38.6819
41,5314776,110114.39146600002,7.088419999999999,5.74177,
42,5314777,110114.38149100001,2.7088400000000004,9.46908,
43,5314778,110114.371515,0.666266,1.89045,
44,5314779,110114.361539,-2.68633,-4.08477,
45,5314780,110114.35156300002,-3.705,-3.5924,
46,5314781,110114.34158699999,-5.0361199999999995,-4.93066,
47,5314782,110114.33161099999,-5.04281,-8.74879,
48,5314783,110114.321636,-2.58975,-1.8535599999999999,
49,5314784,110114.31165999999,0.6839930000000001,0.34630700000000003,
50,5314785,110114.30168399999,1.8384200000000002,-0.662732,
51,5314786,110114.29170799999,5.78164,4.698,
52,5314787,110114.28173199999,7.01525,4.5216,
53,5314788,110114.27175599999,8.01079,-0.485887,
54,5314789,110114.26178,8.07922,4.03108,
55,5314790,110114.25180499999,3.87804,4.00758,
56,5314791,110114.24182899999,-1.81932,-1.93757,
57,5314792,110114.23185299999,-1.78289,-3.5105699999999995,
58,5314793,110114.221877,0.829526,-2.03654,
59,5314794,110114.211901,-2.0827400000000003,-0.290932,
60,5314795,110114.201925,-2.3764,-5.641430000000001,
61,5314796,110114.191949,0.439554,-1.80361,
62,5314797,110114.181974,0.923566,3.87178,
63,5314798,110114.171998,-0.6953699999999999,4.4376,
64,5314799,110114.162022,2.6764099999999997,-0.403715,
65,5314800,110114.152046,2.54635,-1.41468,38.8769
66,5314801,110114.14207,2.0655200000000002,1.47415,
67,5314802,110114.132094,0.276341,3.6807199999999995,
68,5314803,110114.122119,-4.63066,4.5621599999999995,
69,5314804,110114.112143,-5.90879,0.659296,
70,5314805,110114.102167,-1.48099,-3.84692,
71,5314806,110114.092191,0.17397,-2.85065,
72,5314807,110114.08221500002,-0.465617,-1.43664,
73,5314808,110114.07223900002,-0.11053199999999999,-2.38841,
74,5314809,110114.06226300001,-2.42735,-1.3296,
75,5314810,110114.052288,-0.650366,0.685227,
76,5314811,110114.04231199999,1.86998,1.1474799999999998,
77,5314812,110114.03233599999,-0.183927,-0.304612,
78,5314813,110114.02235999999,0.340834,-2.01893,
79,5314814,110114.01238399999,3.24372,1.85349,
80,5314815,110114.00240799999,0.8557100000000001,4.59879,
81,5314816,110113.992432,0.496886,-0.172811,
82,5314817,110113.98245699999,-1.34235,-3.8685400000000003,
83,5314818,110113.97248099999,-3.3027,-1.93325,
84,5314819,110113.96250499999,-3.4735400000000003,0.880109,
85,5314820,110113.952529,-2.08419,-0.347192,
86,5314821,110113.942553,-2.13421,-2.58913,
87,5314822,110113.932577,-2.20613,1.0552700000000002,
88,5314823,110113.92260199999,-1.1021,1.12551,
89,5314824,110113.912626,1.0165,1.49597,
90,5314825,110113.90265,1.2314200000000002,3.48235,38.8769
91,5314826,110113.892674,-1.09249,5.19819,
92,5314827,110113.882698,-2.12698,6.0456199999999995,
93,5314828,110113.872722,-2.48333,4.2144,
94,5314829,110113.862746,-1.5116100000000001,0.015019399999999999,
95,5314830,110113.852771,4.54505,-4.19912,
96,5314831,110113.842795,2.41661,-0.17466800000000002,
97,5314832,110113.832819,-1.0746200000000001,0.666311,
98,5314833,110113.822843,-0.6572439999999999,2.09938,
99,5314834,110113.812867,-1.19912,-2.11599,
100,5314835,110113.80289100001,-0.564228,-2.07606,
101,5314836,110113.79291500001,3.10947,1.55185,
102,5314837,110113.78294,2.91891,-1.03765,
103,5314838,110113.772964,1.34871,-0.226271,
104,5314839,110113.76298800002,0.61815,2.76444,
105,5314840,110113.75301199999,-4.62107,1.70038,
106,5314841,110113.74303599999,-4.8577,0.243763,
107,5314842,110113.73305999998,-0.896252,0.143901,
108,5314843,110113.723084,-1.10131,-1.21128,
109,5314844,110113.71310899999,-1.9126400000000001,-0.200021,
110,5314845,110113.70313299999,4.928719999999999,-1.0040799999999999,
111,5314846,110113.69315699999,7.83027,-0.6677420000000001,
112,5314847,110113.683181,4.23337,2.9045099999999997,
113,5314848,110113.673205,1.32158,2.42292,
114,5314849,110113.663229,-2.33867,4.08593,
115,5314850,110113.65325399999,-6.8852,-2.33278,38.7097
116,5314851,110113.643278,-4.38604,-2.12243,
117,5314852,110113.633302,-2.2786299999999997,-0.0836875,
118,5314853,110113.623326,-4.35652,0.666795,
119,5314854,110113.61335,1.1792799999999999,-1.19805,
120,5314855,110113.603374,-3.77518,2.34055,
121,5314856,110113.593398,-7.131460000000001,4.21044,
122,5314857,110113.583423,-4.27308,3.26174,
123,5314858,110113.573447,6.80917,2.20543,
124,5314859,110113.563471,18.9344,-3.4735699999999996,
125,5314860,110113.553495,18.3613,-9.521469999999999,
126,5314861,110113.543519,5.65747,-5.1712,
127,5314862,110113.53354300001,-1.47672,1.6892900000000002,
128,5314863,110113.52356700001,-10.2313,5.91689,
129,5314864,110113.513592,-8.93262,4.1959,
130,5314865,110113.503616,-10.1323,-4.21569,
131,5314866,110113.49364000002,-6.18847,-3.05341,
132,5314867,110113.48366400001,-1.2232399999999999,-2.88204,
133,5314868,110113.47368800001,-0.200139,3.59288,
134,5314869,110113.46371199998,0.654293,1.5600100000000001,
135,5314870,110113.45373699999,-0.491437,-1.57599,
