,no,distance,accerelation_L,accerelation_R,velocity
1,2126441,141980.095279,-5.54469,-1.31083,
2,2126442,141980.085292,-3.9583699999999995,-0.404944,
3,2126443,141980.075304,0.161487,-3.15009,
4,2126444,141980.065317,1.05162,-5.56269,
5,2126445,141980.05533,1.2575100000000001,-1.19692,
6,2126446,141980.045342,4.1718,5.50776,
7,2126447,141980.035355,3.3117699999999997,7.95684,
8,2126448,141980.025368,3.46435,5.66056,
9,2126449,141980.01538,0.9182889999999999,6.79265,
10,2126450,141980.005393,-2.67486,8.84181,55.3279
11,2126451,141979.995406,-1.25091,3.072,
12,2126452,141979.985419,1.9877,-4.53585,
13,2126453,141979.975431,-3.95779,-7.14745,
14,2126454,141979.965444,-8.78698,-3.9361599999999997,
15,2126455,141979.955457,-6.82658,0.894739,
16,2126456,141979.945469,-4.93283,-0.69763,
17,2126457,141979.935482,-0.481915,-3.4311800000000003,
18,2126458,141979.925495,4.156000000000001,-0.66169,
19,2126459,141979.915507,5.70711,6.10882,
20,2126460,141979.90552,4.12657,6.934089999999999,
21,2126461,141979.895533,5.61178,4.90827,
22,2126462,141979.885545,3.6019699999999997,5.49584,
23,2126463,141979.875558,-0.455388,7.356730000000001,
24,2126464,141979.865571,-5.7318,4.7785,
25,2126465,141979.855583,-6.66415,-0.192454,
26,2126466,141979.845596,-10.5282,-1.7684900000000001,
27,2126467,141979.835609,-9.777000000000001,-2.2124900000000003,
28,2126468,141979.825621,-4.57193,-5.10179,
29,2126469,141979.815634,-2.85204,-3.82099,
30,2126470,141979.805647,-6.22558,2.3427,
31,2126471,141979.79566,-5.17928,5.76464,
32,2126472,141979.785672,-0.4404,5.58724,
33,2126473,141979.775685,1.50525,4.32889,
34,2126474,141979.765698,4.10709,0.8467959999999999,
35,2126475,141979.75571,9.66371,-2.70843,55.3279
36,2126476,141979.745723,10.6703,-0.439852,
37,2126477,141979.735736,5.33326,3.38691,
38,2126478,141979.725748,5.30042,4.0250900000000005,
39,2126479,141979.715761,6.4806099999999995,0.627007,
40,2126480,141979.705774,6.9319,-0.6753640000000001,
41,2126481,141979.695786,3.7297,-3.1821,
42,2126482,141979.685799,0.0898723,-10.5229,
43,2126483,141979.675812,-0.838513,-21.3073,
44,2126484,141979.665824,-0.730723,-35.8458,
45,2126485,141979.655837,-2.67053,-40.4049,
46,2126486,141979.64585,-3.58756,-18.6927,
47,2126487,141979.635862,-16.1747,30.2873,
48,2126488,141979.625875,-20.4092,72.7467,
49,2126489,141979.615888,-6.71445,62.8306,
50,2126490,141979.605901,19.7528,17.2481,
51,2126491,141979.595913,10.3033,-32.5085,
52,2126492,141979.585926,-27.5434,-60.1526,
53,2126493,141979.575939,-43.9387,-55.0225,
54,2126494,141979.565951,-5.95236,-6.78349,
55,2126495,141979.555964,31.3338,52.5817,
56,2126496,141979.545977,31.1741,70.7127,
57,2126497,141979.535989,-2.69338,47.1837,
58,2126498,141979.526002,-34.4173,24.2627,
59,2126499,141979.516015,-3.26817,5.9772300000000005,
60,2126500,141979.506027,41.6461,-10.5128,55.2712
61,2126501,141979.49604,32.5692,-13.1039,
62,2126502,141979.486053,7.1395100000000005,-13.1093,
63,2126503,141979.476065,-10.9705,-16.049,
64,2126504,141979.466078,-7.638160000000001,-0.5313859999999999,
65,2126505,141979.456091,5.52136,16.4072,
66,2126506,141979.446103,14.6812,15.7423,
67,2126507,141979.436116,15.0064,-5.53634,
68,2126508,141979.426129,22.0788,-19.9987,
69,2126509,141979.416142,17.011,-25.441,
70,2126510,141979.406154,8.71138,-12.8693,
71,2126511,141979.396167,15.0253,-0.025531,
72,2126512,141979.38618,24.4728,4.341419999999999,
73,2126513,141979.376192,8.08601,-7.96075,
74,2126514,141979.366205,-13.8419,-20.2301,
75,2126515,141979.356218,-17.0193,-22.2325,
76,2126516,141979.34623,-13.9853,-12.7009,
77,2126517,141979.336243,-9.23126,-8.97182,
78,2126518,141979.326256,-5.61461,-15.7615,
79,2126519,141979.316268,-13.1564,-14.7426,
80,2126520,141979.306281,-22.111,-2.8193,
81,2126521,141979.296294,-20.7194,6.43543,
82,2126522,141979.286306,-16.2486,10.7372,
83,2126523,141979.276319,-9.55233,19.7608,
84,2126524,141979.266332,0.34874,23.2414,
85,2126525,141979.256344,4.24563,24.2021,55.2712
86,2126526,141979.246357,8.8828,19.1574,
87,2126527,141979.23637,13.1812,24.8808,
88,2126528,141979.226382,12.484000000000002,27.9066,
89,2126529,141979.216395,2.7963299999999998,24.4881,
90,2126530,141979.206408,-5.14002,10.5686,
91,2126531,141979.196421,-2.84425,2.82385,
92,2126532,141979.186433,-4.85266,-5.51847,
93,2126533,141979.176446,-6.9610199999999995,-8.47172,
94,2126534,141979.166459,-8.7631,-8.217369999999999,
95,2126535,141979.156471,-2.18035,-10.243,
96,2126536,141979.146484,1.66192,-7.36614,
97,2126537,141979.136497,6.55309,-0.21890300000000001,
98,2126538,141979.126509,-1.93115,-0.359948,
99,2126539,141979.116522,-12.8633,-4.553780000000001,
100,2126540,141979.106535,-1.22645,-0.30034099999999997,
101,2126541,141979.096547,16.1788,-3.0314900000000002,
102,2126542,141979.08656,20.6398,-7.12155,
103,2126543,141979.076573,11.0732,-4.68569,
104,2126544,141979.066585,-3.2904199999999997,-1.8438,
105,2126545,141979.056598,-11.3915,-2.4918,
106,2126546,141979.046611,-8.7449,-11.1796,
107,2126547,141979.036623,-5.3523,-14.8567,
108,2126548,141979.026636,-7.159560000000001,-12.0208,
109,2126549,141979.016649,-8.01644,-7.05955,
110,2126550,141979.006662,1.54304,4.8246,55.2712
111,2126551,141978.996674,15.558,12.4864,
