,no,distance,accerelation_L,accerelation_R,velocity
1,6116160,102118.395167,7.031280000000001,2.7298,
2,6116161,102118.385171,8.03932,-1.9897900000000002,
3,6116162,102118.375174,9.71537,1.91953,
4,6116163,102118.365178,4.8660000000000005,0.864878,
5,6116164,102118.355182,4.90147,-1.1707,
6,6116165,102118.345186,4.60881,-0.62365,
7,6116166,102118.335189,-0.737382,-3.4405699999999997,
8,6116167,102118.325193,-2.84853,-6.35332,
9,6116168,102118.315197,-5.8516900000000005,-8.40259,
10,6116169,102118.305201,-1.47181,-1.8832200000000001,
11,6116170,102118.295205,-3.6071699999999995,-8.63728,
12,6116171,102118.285208,-3.16535,-4.75901,
13,6116172,102118.27521200001,-4.14115,-6.77716,
14,6116173,102118.265216,-8.11026,-4.84166,
15,6116174,102118.25522,-7.90975,-10.6281,
16,6116175,102118.245224,-10.0741,-7.458819999999999,91.0624
17,6116176,102118.235227,-8.287889999999999,4.10297,
18,6116177,102118.22523099999,-8.3677,7.00593,
19,6116178,102118.215235,-10.4386,13.1204,
20,6116179,102118.205239,-8.82439,16.8321,
21,6116180,102118.195242,-7.3284899999999995,16.9792,
22,6116181,102118.18524600001,-11.3488,13.4088,
23,6116182,102118.17525,-6.81186,14.1201,
24,6116183,102118.16525399999,-4.19134,11.6735,
25,6116184,102118.155258,-2.94044,8.63449,
26,6116185,102118.145261,-0.0378241,1.45678,
27,6116186,102118.135265,0.55206,0.811098,
28,6116187,102118.12526900001,-0.10700799999999999,-5.6648,
29,6116188,102118.115273,-6.7176800000000005,-8.325389999999999,
30,6116189,102118.105277,-6.21545,-5.4257,
31,6116190,102118.09528,-6.581930000000001,-1.65625,
32,6116191,102118.085284,-7.44649,3.6831300000000002,
33,6116192,102118.075288,-3.69498,4.31246,
34,6116193,102118.065292,-2.04032,6.793819999999999,
35,6116194,102118.055295,-1.27854,3.8464199999999997,
36,6116195,102118.045299,-5.23951,1.65209,
37,6116196,102118.035303,-4.06228,0.71368,
38,6116197,102118.025307,-2.13729,1.62415,
39,6116198,102118.015311,0.39056199999999996,-6.77946,
40,6116199,102118.005314,1.77532,-6.04592,
41,6116200,102117.995318,0.9079520000000001,-4.41405,91.2162
42,6116201,102117.98532200001,-3.10969,-5.3724,
43,6116202,102117.975326,-4.59921,3.31565,
44,6116203,102117.96532999999,-3.3296900000000003,8.60133,
45,6116204,102117.955333,1.71495,13.2693,
46,6116205,102117.945337,0.875093,6.4749,
47,6116206,102117.93534099999,-0.13029200000000002,1.3316,
48,6116207,102117.92534500001,1.33531,-3.3136099999999997,
49,6116208,102117.915348,-4.20038,-4.4669099999999995,
50,6116209,102117.905352,-0.682983,-6.14705,
51,6116210,102117.895356,2.6099,-2.59288,
52,6116211,102117.88536,6.969639999999999,-4.48224,
53,6116212,102117.87536399999,5.54744,-10.4709,
54,6116213,102117.86536699999,10.8971,-11.4229,
55,6116214,102117.855371,7.565360000000001,-7.377089999999999,
56,6116215,102117.845375,6.07145,-5.917269999999999,
57,6116216,102117.835379,4.67178,-5.2750900000000005,
58,6116217,102117.825383,5.71464,2.4658,
59,6116218,102117.815386,7.003589999999999,-4.79776,
60,6116219,102117.80539,5.6947,-1.33402,
61,6116220,102117.795394,6.67178,1.12791,
62,6116221,102117.785398,6.6073,6.43625,
63,6116222,102117.775401,7.13385,11.1799,
64,6116223,102117.765405,8.82815,14.4185,
65,6116224,102117.755409,12.6211,12.2962,
66,6116225,102117.745413,7.38013,6.786969999999999,90.7563
67,6116226,102117.73541699999,12.6213,0.598208,
68,6116227,102117.72542,5.44758,4.28137,
69,6116228,102117.715424,8.54775,7.39513,
70,6116229,102117.705428,-4.30377,6.597339999999999,
71,6116230,102117.69543200001,3.1550599999999998,7.4186,
72,6116231,102117.685436,-3.3588,0.9144479999999999,
73,6116232,102117.675439,-4.07859,-2.2075400000000003,
74,6116233,102117.66544299999,-10.0082,-7.01922,
75,6116234,102117.655447,-4.18302,-2.78396,
76,6116235,102117.645451,0.294072,-14.6602,
77,6116236,102117.635454,1.11622,-11.557,
78,6116237,102117.62545800001,4.35117,-11.7264,
79,6116238,102117.615462,6.208469999999999,-6.67214,
80,6116239,102117.605466,-4.53239,-7.74495,
81,6116240,102117.59547,2.0396799999999997,-3.53113,
82,6116241,102117.585473,-9.99452,0.9580620000000001,
83,6116242,102117.57547699999,6.96945,3.2082900000000003,
84,6116243,102117.565481,-3.31075,0.13156099999999998,
85,6116244,102117.555485,2.4145,2.93058,
86,6116245,102117.545489,-3.9448199999999995,-5.42454,
87,6116246,102117.535492,3.1120400000000004,0.11371099999999999,
88,6116247,102117.525496,4.5321,0.448074,
89,6116248,102117.5155,2.14012,-6.05285,
90,6116249,102117.505504,1.0354,-7.86924,
91,6116250,102117.495507,-0.352633,2.33007,91.0624
92,6116251,102117.485511,3.45186,7.89297,
93,6116252,102117.475515,2.15004,3.3777800000000004,
94,6116253,102117.465519,-1.63144,4.958819999999999,
95,6116254,102117.455523,-2.79047,3.33459,
96,6116255,102117.445526,-8.32047,1.3074299999999999,
97,6116256,102117.43553,-8.35356,3.46202,
98,6116257,102117.42553400001,-3.9489300000000003,-2.41145,
99,6116258,102117.415538,-4.58858,1.12747,
100,6116259,102117.405541,0.883234,-0.745544,
101,6116260,102117.395545,0.531816,3.1349299999999998,
102,6116261,102117.385549,3.78594,8.46777,
103,6116262,102117.37555299999,1.0521200000000002,-2.5016599999999998,
104,6116263,102117.36555700001,-4.26917,-2.0085,
105,6116264,102117.35556,-0.538876,-2.50379,
106,6116265,102117.345564,-5.21338,2.09678,
107,6116266,102117.335568,-4.03448,0.421778,
108,6116267,102117.325572,-5.14452,6.7755,
109,6116268,102117.315576,-7.9065199999999995,8.04461,
110,6116269,102117.30557899999,0.187225,6.76365,
111,6116270,102117.295583,-7.334969999999999,5.02611,
112,6116271,102117.285587,-1.57745,2.22122,
113,6116272,102117.275591,1.0573299999999999,6.2131300000000005,
114,6116273,102117.26559400001,0.307618,2.71195,
115,6116274,102117.255598,4.9398599999999995,6.30275,
116,6116275,102117.245602,10.3374,2.05728,91.2162
117,6116276,102117.23560599999,9.58437,2.67777,
118,6116277,102117.22561000001,10.2922,-6.82636,
119,6116278,102117.215613,2.86971,2.31276,
120,6116279,102117.205617,5.0504,1.5888,
121,6116280,102117.195621,-3.6338,-1.97328,
122,6116281,102117.185625,0.151894,5.293080000000001,
123,6116282,102117.17562899999,10.325,-2.1434599999999997,
124,6116283,102117.165632,-0.585819,4.02283,
125,6116284,102117.155636,4.52224,3.99125,
126,6116285,102117.14564,-3.5129599999999996,10.0638,
127,6116286,102117.13564400001,-0.411326,9.43237,
128,6116287,102117.12564700001,-9.24409,2.662,
129,6116288,102117.115651,-6.02146,-1.0043799999999998,
130,6116289,102117.10565499999,-1.10824,2.62715,
131,6116290,102117.095659,-2.39364,-4.65385,
132,6116291,102117.085663,0.131803,-5.721,
133,6116292,102117.07566599999,1.1637600000000001,-8.21335,
134,6116293,102117.06567000001,-1.64052,-8.1159,
135,6116294,102117.055674,1.1115700000000002,-9.20458,
136,6116295,102117.045678,-0.8662299999999999,-9.18666,
137,6116296,102117.035682,-2.5094,-4.01107,
138,6116297,102117.025685,0.573159,-9.48507,
139,6116298,102117.01568899999,-3.4328,-0.13683599999999999,
140,6116299,102117.005693,2.04871,3.9797,
141,6116300,102116.995697,-2.62367,18.6918,90.9091
142,6116301,102116.9857,3.51625,20.4833,
143,6116302,102116.975704,1.60856,22.4088,
144,6116303,102116.965708,5.41925,17.6026,
145,6116304,102116.955712,2.24,8.590810000000001,
146,6116305,102116.945716,1.35883,-0.608816,
147,6116306,102116.935719,5.04629,1.64661,
148,6116307,102116.92572300001,4.809159999999999,-1.85307,
149,6116308,102116.915727,10.1054,1.2058200000000001,
150,6116309,102116.90573099999,12.7019,4.47478,
151,6116310,102116.895735,14.110999999999999,2.81503,
152,6116311,102116.885738,14.4863,-0.363765,
153,6116312,102116.87574199999,9.39649,0.118895,
154,6116313,102116.86574600001,13.9804,3.6564300000000003,
155,6116314,102116.85575,6.01162,-2.1562099999999997,
156,6116315,102116.845753,7.172839999999999,-1.41344,
157,6116316,102116.83575700001,2.77362,2.4365200000000002,
158,6116317,102116.825761,6.25326,0.44308000000000003,
159,6116318,102116.81576499999,2.59442,-7.90066,
160,6116319,102116.805769,0.669095,-2.4058,
161,6116320,102116.795772,-1.5345600000000001,-5.9996599999999995,
162,6116321,102116.785776,-3.7366699999999997,-8.739930000000001,
163,6116322,102116.77578,-1.6124100000000001,-4.79511,
164,6116323,102116.765784,-1.09365,-2.57113,
165,6116324,102116.755788,0.9511639999999999,-7.06233,
166,6116325,102116.745791,-0.48276899999999995,-7.67055,91.2162
167,6116326,102116.735795,0.774641,-9.14674,
168,6116327,102116.725799,-1.9730400000000001,-9.698369999999999,
169,6116328,102116.715803,-5.760330000000001,-9.460519999999999,
170,6116329,102116.705806,-3.11348,-1.5383200000000001,
171,6116330,102116.69581,-5.08755,-0.561088,
172,6116331,102116.685814,-6.25595,-2.00782,
173,6116332,102116.67581799999,-1.95757,-0.5870850000000001,
174,6116333,102116.66582200001,-3.5479800000000004,3.16383,
175,6116334,102116.655825,-4.08711,3.5082400000000002,
176,6116335,102116.645829,-1.8322,5.69378,
177,6116336,102116.63583300001,1.41626,7.36994,
178,6116337,102116.625837,8.7247,6.45214,
179,6116338,102116.61584099999,7.2310300000000005,7.38778,
180,6116339,102116.605844,4.78089,6.597360000000001,
181,6116340,102116.595848,4.73961,11.7676,
182,6116341,102116.585852,3.4238199999999996,13.134,
183,6116342,102116.575856,2.99134,15.0935,
184,6116343,102116.56585900001,0.5738770000000001,13.6989,
185,6116344,102116.555863,3.85039,16.838,
186,6116345,102116.545867,1.18724,6.92572,
187,6116346,102116.535871,0.93347,4.66334,
188,6116347,102116.525875,2.55268,5.88618,
189,6116348,102116.51587799999,-1.1910399999999999,2.6555400000000002,
190,6116349,102116.50588200001,1.55574,0.188996,
191,6116350,102116.495886,-0.794533,0.525725,91.2162
192,6116351,102116.48589,-0.0961059,1.92271,
193,6116352,102116.475894,-1.22508,-6.08419,
194,6116353,102116.465897,-3.8290599999999997,-6.22865,
195,6116354,102116.455901,-2.28524,-5.37964,
196,6116355,102116.445905,-2.8849,-4.04956,
197,6116356,102116.435909,-4.14204,-5.24833,
198,6116357,102116.425912,-3.99666,1.73353,
199,6116358,102116.415916,-4.705419999999999,0.30378299999999997,
200,6116359,102116.40592,-1.92609,0.987504,
201,6116360,102116.395924,-0.230725,0.31208400000000003,
202,6116361,102116.385928,-0.853138,3.2053,
203,6116362,102116.37593099999,1.66619,-1.1453200000000001,
204,6116363,102116.36593500001,-3.4926199999999996,-0.110952,
205,6116364,102116.355939,0.522572,4.81073,
206,6116365,102116.345943,-2.2093599999999998,3.6394300000000004,
207,6116366,102116.335947,0.20890100000000003,6.1685099999999995,
208,6116367,102116.32595,0.242759,6.48334,
209,6116368,102116.31595399999,0.723629,4.74717,
210,6116369,102116.305958,5.88117,-1.0977700000000001,
211,6116370,102116.295962,0.797218,6.69976,
212,6116371,102116.285965,3.75748,3.0063,
213,6116372,102116.27596900001,3.89166,3.57429,
214,6116373,102116.265973,4.22227,0.279513,
215,6116374,102116.255977,0.847758,6.1866,
216,6116375,102116.245981,4.06337,1.8068400000000002,91.2162
217,6116376,102116.235984,0.573129,8.23816,
218,6116377,102116.225988,3.30015,6.656739999999999,
219,6116378,102116.215992,0.34748,6.23888,
220,6116379,102116.205996,1.4543700000000002,0.44635600000000003,
221,6116380,102116.196,-0.7834270000000001,2.05218,
222,6116381,102116.186003,1.60756,-3.8702300000000003,
223,6116382,102116.176007,-1.62901,1.8111700000000002,
224,6116383,102116.16601100001,3.24358,-5.59056,
225,6116384,102116.156015,0.950939,-3.6600300000000003,
226,6116385,102116.146018,5.79321,-6.97196,
227,6116386,102116.136022,1.07886,0.0794322,
228,6116387,102116.126026,4.11417,-5.69351,
229,6116388,102116.11602999999,2.0112400000000004,0.887516,
230,6116389,102116.106034,5.0497,-4.35372,
231,6116390,102116.096037,2.73664,4.85115,
232,6116391,102116.086041,3.34421,4.65865,
233,6116392,102116.07604500001,-1.46955,9.74525,
234,6116393,102116.066049,5.16615,1.8026400000000002,
235,6116394,102116.056053,1.7638200000000002,5.541180000000001,
236,6116395,102116.04605599999,4.06265,0.395065,
237,6116396,102116.03606,4.12424,6.0818,
238,6116397,102116.026064,11.7025,-0.697134,
239,6116398,102116.016068,6.69826,0.8738969999999999,
240,6116399,102116.00607100001,10.8238,-5.31954,
241,6116400,102115.996075,4.93516,-0.5294800000000001,91.0624
242,6116401,102115.986079,11.231,-8.70883,
243,6116402,102115.976083,8.54679,-2.93811,
244,6116403,102115.966087,10.2937,0.985941,
245,6116404,102115.95608999999,10.2228,5.772069999999999,
246,6116405,102115.946094,9.73967,0.6914020000000001,
247,6116406,102115.936098,7.2458100000000005,5.6937,
248,6116407,102115.926102,3.4470400000000003,0.450946,
249,6116408,102115.91610599999,3.27486,-2.6623200000000002,
250,6116409,102115.906109,-0.8206959999999999,-0.399017,
251,6116410,102115.896113,3.98185,0.404515,
252,6116411,102115.886117,0.720514,3.4270699999999996,
253,6116412,102115.87612100001,7.7942100000000005,-2.8824,
254,6116413,102115.86612400001,0.013113299999999998,1.5019,
255,6116414,102115.856128,1.21519,-2.78841,
256,6116415,102115.846132,-2.2812799999999998,-4.39422,
257,6116416,102115.836136,-1.33413,-4.550669999999999,
258,6116417,102115.82614,0.5852430000000001,2.9541,
259,6116418,102115.81614299999,0.313123,6.2697199999999995,
260,6116419,102115.806147,-3.11361,4.92094,
261,6116420,102115.796151,-6.9146600000000005,6.91765,
262,6116421,102115.786155,-6.792660000000001,4.13258,
263,6116422,102115.776159,-9.64247,3.0984700000000003,
264,6116423,102115.766162,-5.461790000000001,0.671491,
265,6116424,102115.75616599999,-10.2091,7.8345199999999995,
266,6116425,102115.74617,-0.863174,-1.58848,91.0624
267,6116426,102115.736174,-9.64385,2.7069,
268,6116427,102115.726177,-4.36381,4.68121,
269,6116428,102115.716181,0.324866,4.03333,
270,6116429,102115.706185,2.84537,5.29815,
271,6116430,102115.696189,2.72753,0.5512050000000001,
272,6116431,102115.686193,0.8628020000000001,7.6070899999999995,
273,6116432,102115.676196,2.42013,5.61089,
274,6116433,102115.6662,-0.547687,8.16886,
275,6116434,102115.656204,5.73378,1.78288,
276,6116435,102115.646208,0.225512,2.46265,
277,6116436,102115.636211,4.14989,1.75378,
278,6116437,102115.626215,-0.106994,0.31861300000000004,
279,6116438,102115.616219,4.84274,3.5396099999999997,
280,6116439,102115.606223,2.24789,2.71294,
281,6116440,102115.596227,2.3111200000000003,2.28349,
282,6116441,102115.58623,5.41788,-6.63167,
283,6116442,102115.57623400001,-3.09743,5.44837,
284,6116443,102115.566238,8.65971,-2.07586,
285,6116444,102115.55624199999,-1.4533,-3.9827,
286,6116445,102115.546246,-2.3189,-1.27125,
287,6116446,102115.536249,-4.00561,4.71529,
288,6116447,102115.526253,-3.18661,9.60533,
289,6116448,102115.51625700001,-3.53384,4.72424,
290,6116449,102115.506261,-3.53252,10.3033,
291,6116450,102115.496264,-3.24134,3.1265,91.2162
292,6116451,102115.486268,-4.13208,2.71698,
293,6116452,102115.476272,-3.6190300000000004,-1.48285,
294,6116453,102115.46627599999,2.2400700000000002,3.6526300000000003,
295,6116454,102115.45628,0.486942,-3.27409,
296,6116455,102115.446283,-2.07835,3.74505,
297,6116456,102115.436287,-0.8827440000000001,1.3169,
298,6116457,102115.426291,-2.66892,8.048060000000001,
299,6116458,102115.416295,2.8597200000000003,-8.445139999999999,
300,6116459,102115.406299,-0.204355,-0.0709848,
301,6116460,102115.396302,1.28925,-5.0804800000000006,
302,6116461,102115.386306,0.570633,0.059844299999999996,
303,6116462,102115.37631,1.49573,-2.64716,
304,6116463,102115.366314,0.915969,2.81922,
305,6116464,102115.356317,-4.4917,-4.471080000000001,
306,6116465,102115.346321,1.36996,0.778622,
307,6116466,102115.336325,1.11932,0.31954099999999996,
308,6116467,102115.326329,3.48241,-1.63851,
309,6116468,102115.31633300001,-1.00714,-7.24308,
310,6116469,102115.306336,-0.028261200000000004,-0.288645,
311,6116470,102115.29634,1.3758700000000001,-7.70435,
312,6116471,102115.28634400001,0.44796499999999995,-1.9790599999999998,
313,6116472,102115.276348,3.2313099999999997,-3.57776,
314,6116473,102115.26635199999,2.64863,1.00137,
315,6116474,102115.25635499999,4.4596800000000005,-5.171209999999999,
316,6116475,102115.246359,1.4467299999999998,-0.20323,90.7563
317,6116476,102115.236363,5.04478,-7.91529,
318,6116477,102115.226367,3.91474,-6.24426,
319,6116478,102115.21637000001,8.22513,-7.237439999999999,
320,6116479,102115.206374,9.99196,-0.103059,
321,6116480,102115.196378,9.0753,-4.60438,
322,6116481,102115.186382,8.91738,-0.445511,
323,6116482,102115.176386,9.24582,1.0394299999999999,
324,6116483,102115.166389,8.29543,3.3538099999999997,
325,6116484,102115.156393,8.65965,0.233517,
326,6116485,102115.146397,3.7273,1.3836700000000002,
327,6116486,102115.136401,4.44658,-0.07467380000000001,
328,6116487,102115.12640499999,5.38023,-0.36299000000000003,
329,6116488,102115.116408,1.0837,5.08933,
330,6116489,102115.106412,7.826039999999999,-1.57921,
331,6116490,102115.096416,5.14834,9.25738,
332,6116491,102115.08642,7.373189999999999,3.81029,
333,6116492,102115.076423,0.198864,2.1099099999999997,
334,6116493,102115.066427,2.4637599999999997,1.0126700000000002,
335,6116494,102115.05643099999,-2.90259,3.5859199999999998,
336,6116495,102115.046435,-4.43513,-4.44108,
337,6116496,102115.036439,-1.6698,-1.30855,
338,6116497,102115.026442,-4.26701,0.811546,
339,6116498,102115.01644600001,-4.03601,-4.21435,
340,6116499,102115.00645,-8.0282,-4.87108,
341,6116500,102114.996454,-2.14981,-6.9809600000000005,91.0624
342,6116501,102114.986458,-4.44573,6.929010000000001,
343,6116502,102114.976461,-1.22171,-1.67313,
344,6116503,102114.96646499999,-3.30596,2.12093,
345,6116504,102114.95646900001,0.26466,5.70823,
346,6116505,102114.946473,-4.26037,2.56205,
347,6116506,102114.936476,-6.9908600000000005,-1.15614,
348,6116507,102114.92648,-9.188880000000001,4.82839,
349,6116508,102114.916484,-7.433389999999999,8.78081,
350,6116509,102114.906488,-1.67305,-3.18893,
351,6116510,102114.896492,-2.8993700000000002,2.13193,
352,6116511,102114.886495,4.58096,-0.210711,
353,6116512,102114.876499,1.35521,-1.8164,
354,6116513,102114.866503,3.45977,-5.8156099999999995,
355,6116514,102114.856507,2.3111099999999998,-2.84859,
356,6116515,102114.846511,6.03477,-0.0762807,
357,6116516,102114.836514,0.720946,-1.41136,
358,6116517,102114.826518,2.94045,2.01658,
359,6116518,102114.81652200001,3.73989,1.74669,
360,6116519,102114.806526,-2.51658,2.97491,
361,6116520,102114.796529,-1.34486,0.0496256,
362,6116521,102114.786533,-6.5205400000000004,3.1592,
363,6116522,102114.776537,-0.25961799999999996,4.26127,
364,6116523,102114.76654099999,-3.66946,4.85655,
365,6116524,102114.75654500001,2.7032700000000003,1.62066,
366,6116525,102114.746548,-4.726380000000001,4.03693,91.0624
367,6116526,102114.736552,-1.1260700000000001,1.04349,
368,6116527,102114.726556,1.01419,-0.651622,
369,6116528,102114.71656,1.22614,-3.77115,
370,6116529,102114.706564,-3.67829,-2.1873099999999996,
371,6116530,102114.69656699999,-3.02123,1.9562400000000002,
372,6116531,102114.686571,-3.8218699999999997,3.3828,
373,6116532,102114.676575,-3.7637400000000003,3.23294,
374,6116533,102114.666579,-5.72957,7.955239999999999,
375,6116534,102114.65658200001,-8.50588,2.12723,
376,6116535,102114.646586,-5.30176,-1.20639,
377,6116536,102114.63659,-7.80841,0.513588,
378,6116537,102114.626594,-6.01311,-2.21243,
379,6116538,102114.61659800001,-9.003689999999999,2.40181,
380,6116539,102114.60660099999,-3.57352,0.520145,
381,6116540,102114.596605,-4.00814,1.0119799999999999,
382,6116541,102114.586609,-3.61637,-2.72304,
383,6116542,102114.576613,-4.11203,4.81764,
384,6116543,102114.56661699999,3.3586199999999997,2.26801,
385,6116544,102114.55662,1.2804200000000001,4.47518,
386,6116545,102114.546624,2.49432,-1.11424,
387,6116546,102114.536628,-2.2097,5.158980000000001,
388,6116547,102114.52663200001,0.98841,-2.07347,
389,6116548,102114.516635,1.26091,3.58371,
390,6116549,102114.506639,6.7960899999999995,-0.526392,
391,6116550,102114.49664299999,6.46855,7.718369999999999,90.7563
392,6116551,102114.486647,14.4588,-2.5715,
393,6116552,102114.476651,9.55996,-0.811304,
394,6116553,102114.46665399999,11.3451,-7.38473,
395,6116554,102114.45665800001,7.91534,-7.68663,
396,6116555,102114.446662,11.4383,-9.18936,
397,6116556,102114.436666,4.3091099999999996,-4.80552,
398,6116557,102114.42667,8.98288,1.57146,
399,6116558,102114.416673,3.9045400000000003,-3.49839,
400,6116559,102114.40667699999,3.5445699999999998,-4.66944,
401,6116560,102114.396681,2.09903,-6.87833,
402,6116561,102114.386685,-0.00821557,-7.33157,
403,6116562,102114.376688,2.76135,-11.4722,
404,6116563,102114.366692,-5.5015,-3.20487,
405,6116564,102114.356696,1.15355,-10.3342,
406,6116565,102114.3467,-7.57494,-9.60549,
407,6116566,102114.336704,-4.02688,-9.43069,
408,6116567,102114.326707,-7.9245,-0.859992,
409,6116568,102114.316711,0.493874,-2.28097,
410,6116569,102114.306715,-2.2999,2.35017,
411,6116570,102114.296719,1.83333,11.4573,
412,6116571,102114.286723,5.17485,7.225789999999999,
413,6116572,102114.276726,6.703469999999999,3.59194,
414,6116573,102114.26672999999,11.0345,0.666534,
415,6116574,102114.25673400001,8.7016,2.95383,
416,6116575,102114.246738,11.7004,-6.02953,91.2162
417,6116576,102114.236741,2.0525900000000004,6.68257,
418,6116577,102114.226745,8.2033,10.2327,
419,6116578,102114.216749,2.89977,13.5819,
420,6116579,102114.20675299999,8.76776,10.8912,
421,6116580,102114.19675700001,4.3760900000000005,16.875,
422,6116581,102114.18676,6.684260000000001,5.27803,
423,6116582,102114.176764,3.94044,-4.9421800000000005,
424,6116583,102114.166768,0.897402,-6.95365,
425,6116584,102114.156772,-1.69278,-8.590910000000001,
426,6116585,102114.146776,-4.94805,-3.17138,
427,6116586,102114.136779,-6.49582,-2.4121,
428,6116587,102114.126783,-7.706360000000001,11.3045,
429,6116588,102114.116787,-3.8553300000000004,-0.6801470000000001,
430,6116589,102114.106791,-13.0188,0.0960689,
431,6116590,102114.09679400001,-11.1868,-6.40292,
432,6116591,102114.086798,-15.0919,-3.9863199999999996,
433,6116592,102114.076802,-12.8077,-9.016689999999999,
434,6116593,102114.06680599999,-17.2396,-6.78424,
435,6116594,102114.05681000001,-7.19682,-5.97272,
436,6116595,102114.046813,-4.82465,-14.2495,
437,6116596,102114.036817,-1.23718,-18.5527,
438,6116597,102114.026821,-0.240644,-26.8309,
439,6116598,102114.016825,-2.30415,-20.7089,
440,6116599,102114.00682899999,-2.51159,-19.3559,
441,6116600,102113.996832,-1.31874,1.5061,91.2162
442,6116601,102113.986836,6.84058,2.54955,
443,6116602,102113.97684,7.96397,9.7615,
444,6116603,102113.96684400001,10.1032,6.200830000000001,
445,6116604,102113.95684700001,4.00999,7.09812,
446,6116605,102113.946851,7.090730000000001,4.6567099999999995,
447,6116606,102113.93685499999,1.3524100000000001,0.564207,
448,6116607,102113.926859,4.75289,7.10801,
449,6116608,102113.916863,8.3169,10.1711,
450,6116609,102113.90686599999,14.2001,15.165999999999999,
451,6116610,102113.89687000001,12.9807,11.0245,
452,6116611,102113.886874,9.19184,15.5591,
453,6116612,102113.876878,9.56771,3.77164,
454,6116613,102113.866881,-0.5962529999999999,6.235130000000001,
455,6116614,102113.856885,-2.58469,7.52469,
