,no,distance,accerelation_L,accerelation_R,velocity
1,2192295,141322.390564,-4.9385,1.7027700000000001,
2,2192296,141322.380577,-2.53828,-0.425428,
3,2192297,141322.370589,-2.49816,-2.39229,
4,2192298,141322.360602,-0.323562,-4.94188,
5,2192299,141322.350615,1.93678,-7.496689999999999,
6,2192300,141322.340627,1.14428,-7.83703,57.4468
7,2192301,141322.33064,-0.7743939999999999,-3.5834900000000003,
8,2192302,141322.320653,-3.0118099999999997,3.13604,
9,2192303,141322.310665,-3.05715,6.34911,
10,2192304,141322.300678,1.24619,6.98278,
11,2192305,141322.290691,3.8705800000000004,5.306690000000001,
12,2192306,141322.280704,5.992380000000001,2.59999,
13,2192307,141322.270716,5.7804199999999994,1.99443,
14,2192308,141322.260729,5.798019999999999,-0.20980900000000002,
15,2192309,141322.250742,6.14607,-0.554504,
16,2192310,141322.240754,3.2647,-1.43454,
17,2192311,141322.230767,-2.4104400000000004,-1.4411200000000002,
18,2192312,141322.22078,-6.3134,-0.019397900000000003,
19,2192313,141322.210792,-7.44049,-0.563792,
20,2192314,141322.200805,-5.7849699999999995,-2.32239,
21,2192315,141322.190818,-4.95874,-5.26905,
22,2192316,141322.18083,-2.76859,-7.47191,
23,2192317,141322.170843,0.21749200000000002,-8.93206,
24,2192318,141322.160856,3.02325,-8.44715,
25,2192319,141322.150868,2.37644,-4.23463,
26,2192320,141322.140881,1.13278,2.32095,
27,2192321,141322.130894,-0.9845229999999999,6.930210000000001,
28,2192322,141322.120906,-0.122474,7.58995,
29,2192323,141322.110919,2.87048,9.853819999999999,
30,2192324,141322.100932,2.4277599999999997,8.771230000000001,
31,2192325,141322.090945,2.0514900000000003,6.59277,57.4468
32,2192326,141322.080957,2.6210299999999997,-4.21534,
33,2192327,141322.07097,3.9228199999999998,-6.177980000000001,
34,2192328,141322.060983,2.2225,-3.20127,
35,2192329,141322.050995,-1.72343,2.6787799999999997,
36,2192330,141322.041008,-5.37806,0.0827637,
37,2192331,141322.031021,-2.99182,0.899392,
38,2192332,141322.021033,-3.5190900000000003,-3.1378,
39,2192333,141322.011046,-5.5313099999999995,-4.12763,
40,2192334,141322.001059,-0.049368699999999995,-2.49952,
41,2192335,141321.991071,-0.658525,-2.7804900000000004,
42,2192336,141321.981084,0.269421,-3.42043,
43,2192337,141321.971097,1.02486,1.7047700000000001,
44,2192338,141321.961109,-1.9056,4.27365,
45,2192339,141321.951122,-3.06208,3.25299,
46,2192340,141321.941135,0.23362,0.240734,
47,2192341,141321.931147,5.95005,2.76818,
48,2192342,141321.92116,2.25861,0.224654,
49,2192343,141321.911173,-2.91066,-0.852987,
50,2192344,141321.901185,-6.14915,-0.520582,
51,2192345,141321.891198,-5.2535300000000005,1.17899,
52,2192346,141321.881211,-2.54238,-0.362964,
53,2192347,141321.871224,0.5367390000000001,-3.37564,
54,2192348,141321.861236,2.36179,-7.40115,
55,2192349,141321.851249,2.0718900000000002,-6.604889999999999,
56,2192350,141321.841262,1.95104,-8.38497,57.2034
57,2192351,141321.831274,3.06511,-5.13695,
58,2192352,141321.821287,1.8763900000000002,0.372915,
59,2192353,141321.8113,-2.27945,6.313219999999999,
60,2192354,141321.801312,-3.88236,8.910219999999999,
61,2192355,141321.791325,-4.5933,8.8623,
62,2192356,141321.781338,-3.87661,8.34623,
63,2192357,141321.77135,-3.6903,3.83742,
64,2192358,141321.761363,-2.71805,-1.55291,
65,2192359,141321.751376,-2.5886099999999996,-4.97589,
66,2192360,141321.74138800002,-2.6316,-5.53241,
67,2192361,141321.731401,-2.0026900000000003,-4.25041,
68,2192362,141321.721414,-2.62505,-1.29149,
69,2192363,141321.711426,-2.74892,3.9156400000000002,
70,2192364,141321.701439,-3.94155,3.71465,
71,2192365,141321.691452,-1.99417,4.40149,
72,2192366,141321.681465,-0.72126,-0.545635,
73,2192367,141321.671477,2.26793,-2.4374700000000002,
74,2192368,141321.66149,3.62227,-4.86395,
75,2192369,141321.651503,7.00675,-4.81775,
76,2192370,141321.641515,7.35675,-1.53893,
77,2192371,141321.631528,3.2696,0.692191,
78,2192372,141321.621541,0.586704,5.70549,
79,2192373,141321.611553,-2.6107099999999996,7.041930000000001,
80,2192374,141321.601566,-4.26546,10.1767,
81,2192375,141321.591579,-5.78584,7.32171,57.508
82,2192376,141321.581591,-5.72147,3.03375,
83,2192377,141321.571604,-4.31605,-1.77147,
84,2192378,141321.561617,-2.44944,-4.1096699999999995,
85,2192379,141321.551629,-3.08736,-5.671,
86,2192380,141321.541642,-4.80454,-3.48587,
87,2192381,141321.531655,-6.45591,-1.5642,
88,2192382,141321.521667,-7.21046,-1.31999,
89,2192383,141321.51168,-2.28588,-1.7866099999999998,
90,2192384,141321.501693,1.01979,-2.7825599999999997,
91,2192385,141321.491706,4.343780000000001,1.0289700000000002,
92,2192386,141321.481718,6.55375,0.875043,
93,2192387,141321.471731,6.30622,-1.32366,
94,2192388,141321.461744,5.17478,-1.27625,
95,2192389,141321.451756,2.49103,3.9405,
96,2192390,141321.441769,-1.07907,6.57447,
97,2192391,141321.431782,-2.74598,3.00031,
98,2192392,141321.421794,1.94754,1.45439,
99,2192393,141321.411807,5.270630000000001,-0.982409,
100,2192394,141321.40182,4.96835,-2.03228,
101,2192395,141321.391832,0.745713,-4.53487,
102,2192396,141321.381845,-2.54829,-4.26877,
103,2192397,141321.371858,-6.902260000000001,-0.932427,
104,2192398,141321.36187,-10.1736,2.79296,
105,2192399,141321.351883,-9.80333,4.56197,
106,2192400,141321.341896,-9.56584,1.2388299999999999,57.4468
107,2192401,141321.331908,-6.5422400000000005,0.59485,
108,2192402,141321.321921,-3.4934,-0.5019979999999999,
109,2192403,141321.311934,1.21281,3.08935,
110,2192404,141321.301947,3.86805,1.14685,
111,2192405,141321.291959,4.764419999999999,-0.804869,
112,2192406,141321.281972,5.04525,-5.309130000000001,
113,2192407,141321.271985,9.04311,2.7678700000000003,
114,2192408,141321.261997,6.62678,2.87253,
115,2192409,141321.25201,5.01584,0.669855,
116,2192410,141321.242023,1.7711,-7.45478,
117,2192411,141321.232035,-1.05081,-1.62185,
118,2192412,141321.222048,-7.38117,0.986083,
119,2192413,141321.212061,-11.04,6.84678,
120,2192414,141321.202073,-8.99918,-4.04826,
121,2192415,141321.192086,-5.03487,-6.50354,
122,2192416,141321.182099,-1.38358,-1.48918,
123,2192417,141321.172111,0.306915,3.78407,
124,2192418,141321.162124,2.42956,-2.62204,
125,2192419,141321.152137,4.00747,-7.528569999999999,
126,2192420,141321.142149,1.1755,-4.67059,
127,2192421,141321.132162,0.15686,3.99137,
128,2192422,141321.122175,0.6988850000000001,-1.40544,
129,2192423,141321.112188,-1.92582,-8.60069,
130,2192424,141321.1022,-3.3354800000000004,-3.6089599999999997,
131,2192425,141321.09221300003,2.1737,9.41129,57.2034
132,2192426,141321.082226,2.91681,8.73148,
133,2192427,141321.07223800002,-0.900644,-0.33670700000000003,
134,2192428,141321.062251,-0.613041,-3.07197,
135,2192429,141321.052264,0.279089,1.5687,
136,2192430,141321.042276,-1.8123599999999997,6.2552,
137,2192431,141321.03228900002,-6.0564599999999995,1.08638,
138,2192432,141321.022302,-8.5231,-3.68992,
139,2192433,141321.01231400002,-8.66089,-5.80178,
140,2192434,141321.002327,-4.4734,-3.03478,
141,2192435,141320.99234,-6.03731,-2.28138,
142,2192436,141320.982352,-14.8523,-1.1812799999999999,
143,2192437,141320.97236500002,-34.586999999999996,-0.596275,
144,2192438,141320.962378,-66.766,1.4663899999999999,
145,2192439,141320.95239000002,-88.9836,0.728997,
146,2192440,141320.942403,-60.3483,-11.6393,
147,2192441,141320.932416,24.0043,-58.7634,
148,2192442,141320.922429,82.5092,-89.0628,
149,2192443,141320.91244100002,68.8611,-25.5498,
