,no,distance,accerelation_L,accerelation_R,velocity
1,4213188,121121.19302,-1.8306,2.67865,
2,4213189,121121.183015,-1.40239,4.4137900000000005,
3,4213190,121121.17300999998,-1.02468,-0.28386100000000003,
4,4213191,121121.163005,-2.0045599999999997,-3.9494800000000003,
5,4213192,121121.153,-3.6964300000000003,-10.3916,
6,4213193,121121.14299400001,-3.1244400000000003,-9.61231,
7,4213194,121121.132989,-3.25888,-10.0705,
8,4213195,121121.12298399999,-0.966203,-9.55354,
9,4213196,121121.112979,1.23065,-8.936069999999999,
10,4213197,121121.102974,3.8578699999999997,-6.4076900000000006,
11,4213198,121121.09296800001,3.0971900000000003,-1.36642,
12,4213199,121121.08296300001,0.553142,1.59922,
13,4213200,121121.07295799999,0.386209,6.57919,75.0
14,4213201,121121.062953,0.14760399999999999,4.60816,
15,4213202,121121.052948,1.0140200000000001,2.50089,
16,4213203,121121.04294200001,-0.017273900000000002,2.45873,
17,4213204,121121.03293699998,-0.405005,2.87215,
18,4213205,121121.02293199999,1.0415,5.892519999999999,
19,4213206,121121.012927,2.95715,5.866969999999999,
20,4213207,121121.002922,4.39189,4.0633099999999995,
21,4213208,121120.992916,-0.198958,0.7915270000000001,
22,4213209,121120.98291099998,-5.90824,-1.86643,
23,4213210,121120.972906,-10.1554,-2.1114,
24,4213211,121120.962901,-9.51184,-0.762787,
25,4213212,121120.952896,-9.04866,-1.4733100000000001,
26,4213213,121120.94289,-9.96841,-2.3298900000000002,
27,4213214,121120.93288499999,-8.14752,-4.46724,
28,4213215,121120.92288,-5.71704,-4.10816,
29,4213216,121120.912875,-4.16685,-4.55465,
30,4213217,121120.90286900001,-2.55057,-3.5906800000000003,
31,4213218,121120.89286400001,-0.423958,-2.53857,
32,4213219,121120.88285899999,2.58771,-2.8732,
33,4213220,121120.872854,8.23162,-0.261809,
34,4213221,121120.862849,9.71241,-0.93016,
35,4213222,121120.852843,12.2392,-0.8371209999999999,
36,4213223,121120.84283800001,10.6464,0.170049,
37,4213224,121120.832833,8.87325,0.686921,
38,4213225,121120.822828,7.969530000000001,1.82769,75.3138
39,4213226,121120.812823,6.86572,0.237974,
40,4213227,121120.802817,5.05964,1.8509400000000003,
41,4213228,121120.79281199999,5.44422,-1.31656,
42,4213229,121120.782807,6.31409,-1.2283,
43,4213230,121120.77280199999,6.13997,-5.26285,
44,4213231,121120.762797,2.9194400000000003,-4.66643,
45,4213232,121120.752791,-1.1366399999999999,-7.71177,
46,4213233,121120.74278599999,-3.8769199999999997,-8.50597,
47,4213234,121120.732781,-3.2906,-9.46013,
48,4213235,121120.722776,-5.051419999999999,-10.832,
49,4213236,121120.712771,-5.3236300000000005,-10.9193,
50,4213237,121120.70276500001,-7.230180000000001,-10.8001,
51,4213238,121120.69275999999,-8.54245,-8.88296,
52,4213239,121120.682755,-9.014489999999999,-4.72802,
53,4213240,121120.67275,-7.8077,0.613168,
54,4213241,121120.66274500001,-3.43914,2.11288,
55,4213242,121120.65273900001,-1.62562,2.13078,
56,4213243,121120.642734,1.55575,-3.94635,
57,4213244,121120.63272899999,1.8353599999999999,-5.17272,
