,no,distance,accerelation_L,accerelation_R,velocity
1,15586911,7801.29265773,2.37547,2.3347900000000004,
2,15586912,7801.28264274,4.38474,0.809581,
3,15586913,7801.27262776,3.87255,-0.590907,
4,15586914,7801.26261277,2.99635,-5.699669999999999,
5,15586915,7801.25259778,5.7064900000000005,-9.77673,
6,15586916,7801.2425828,8.8198,-13.8918,
7,15586917,7801.23256781,8.49338,-8.30162,
8,15586918,7801.22255282,-3.80928,-7.41702,
9,15586919,7801.21253784,-7.86653,-26.467,
10,15586920,7801.20252285,-2.90564,-15.0751,
11,15586921,7801.19250787,4.01014,38.1391,
12,15586922,7801.18249288,-16.0468,42.2673,
13,15586923,7801.17247789,-10.6104,19.0098,
14,15586924,7801.16246291,-13.03,-2.29267,
15,15586925,7801.15244792,-11.4281,5.58575,49.1803
16,15586926,7801.14243293,-2.15873,25.0084,
17,15586927,7801.13241795,-6.41213,7.3934,
18,15586928,7801.12240296,4.56807,-11.4496,
19,15586929,7801.11238798,16.0981,-32.0996,
20,15586930,7801.10237299,14.9169,-18.5628,
21,15586931,7801.092358,13.198,-0.674239,
22,15586932,7801.08234302,8.28052,-8.70256,
23,15586933,7801.07232803,20.0681,-23.0396,
24,15586934,7801.06231304,22.4992,-20.9781,
25,15586935,7801.05229806,9.73447,-13.5401,
26,15586936,7801.04228307,5.71435,-10.28,
27,15586937,7801.03226809,-1.7315099999999999,3.2547,
28,15586938,7801.0222531,-7.903289999999999,18.6607,
29,15586939,7801.01223811,-5.615419999999999,13.8087,
30,15586940,7801.00222313,-14.1592,18.7633,
31,15586941,7800.99220814,-18.3343,18.3964,
32,15586942,7800.98219315,-28.4496,14.2932,
33,15586943,7800.97217817,-28.6636,7.999639999999999,
34,15586944,7800.96216318,-12.2372,-0.06944689999999999,
35,15586945,7800.9521482,-4.38585,3.34703,
36,15586946,7800.94213321,-2.26875,1.85179,
37,15586947,7800.93211822,-0.0691198,8.6372,
38,15586948,7800.92210324,4.80852,2.64909,
39,15586949,7800.91208825,8.5598,-14.6035,
40,15586950,7800.90207326,10.8904,-23.4744,48.913000000000004
41,15586951,7800.89205828,14.5297,-21.9469,
42,15586952,7800.88204329,11.739,-18.2099,
43,15586953,7800.87202831,6.5881,-14.1942,
44,15586954,7800.86201332,7.825710000000001,-12.8968,
45,15586955,7800.85199833,4.41743,-21.8481,
46,15586956,7800.84198335,3.3841,-13.850999999999999,
47,15586957,7800.83196836,6.11355,5.92331,
48,15586958,7800.82195337,-0.797164,15.427999999999999,
49,15586959,7800.81193839,-8.5621,9.19838,
50,15586960,7800.8019234,-4.64694,7.16449,
51,15586961,7800.79190842,-6.5071900000000005,20.634,
52,15586962,7800.78189343,-10.0142,31.4683,
53,15586963,7800.77187844,-11.8649,33.6019,
54,15586964,7800.76186346,-3.01091,23.1927,
55,15586965,7800.75184847,6.57578,-6.50359,
56,15586966,7800.74183348,-0.00163383,-21.2058,
57,15586967,7800.7318185,-16.7091,-7.765460000000001,
58,15586968,7800.72180351,-19.6331,-7.052630000000001,
59,15586969,7800.71178853,-2.08378,-20.4246,
60,15586970,7800.70177354,12.6492,-29.1963,
61,15586971,7800.69175855,14.1263,-26.9842,
62,15586972,7800.68174357,3.10332,-11.1385,
63,15586973,7800.67172858,5.3577,4.37594,
64,15586974,7800.66171359,6.41252,13.3492,
65,15586975,7800.65169861,5.9545900000000005,12.0485,49.2252
66,15586976,7800.64168362,9.79093,8.765039999999999,
67,15586977,7800.63166864,12.2158,7.141039999999999,
68,15586978,7800.62165365,10.4037,0.0681297,
69,15586979,7800.61163866,5.72577,-3.15355,
70,15586980,7800.60162368,-3.21082,2.31692,
71,15586981,7800.59160869,-12.2005,7.69688,
72,15586982,7800.5815937,-17.5859,0.35256,
73,15586983,7800.57157872,-9.14006,-7.00864,
74,15586984,7800.56156373,-1.94193,-13.8195,
75,15586985,7800.55154875,-4.79111,-9.3494,
76,15586986,7800.54153376,-11.2659,-4.020230000000001,
77,15586987,7800.53151877,-16.3005,2.69825,
78,15586988,7800.52150379,-23.3021,4.9347900000000005,
79,15586989,7800.5114888,-12.0443,2.7278599999999997,
80,15586990,7800.50147381,4.91781,-0.08464119999999999,
81,15586991,7800.49145883,15.5896,-2.60376,
82,15586992,7800.48144384,16.0055,-6.8046,
83,15586993,7800.47142885,11.6203,-3.2739,
84,15586994,7800.46141387,5.82546,1.03568,
85,15586995,7800.45139888,1.06135,7.177160000000001,
86,15586996,7800.4413839,-0.389547,10.1922,
87,15586997,7800.43136891,0.185332,4.82848,
88,15586998,7800.42135392,-3.0928299999999997,-5.27726,
89,15586999,7800.41133894,-5.15757,-9.34417,
90,15587000,7800.40132395,-6.65355,-1.65483,49.2701
91,15587001,7800.39130896,-10.7686,9.24672,
92,15587002,7800.38129398,-11.6851,8.749839999999999,
93,15587003,7800.37127899,-6.12091,-1.27846,
94,15587004,7800.36126401,1.22472,-4.50721,
95,15587005,7800.35124902,8.708789999999999,-2.6712599999999997,
96,15587006,7800.34123403,9.24501,-1.40199,
97,15587007,7800.33121905,3.36182,-0.46315500000000004,
98,15587008,7800.32120406,3.40628,-4.78359,
99,15587009,7800.31118907,6.8985,-10.2406,
