,no,distance,accerelation_L,accerelation_R,velocity
1,9847071,64901.593617499995,2.3822900000000002,-5.12668,
2,9847072,64901.5836199,2.25292,-0.00744541,
3,9847073,64901.573622300006,-1.6944099999999997,3.6581699999999997,
4,9847074,64901.5636247,0.7731180000000001,9.99823,
5,9847075,64901.5536271,0.6225,10.5918,75.0
6,9847076,64901.543629499996,-0.219171,7.50259,
7,9847077,64901.5336319,-1.18652,1.49624,
8,9847078,64901.52363430001,-0.411758,0.59711,
9,9847079,64901.5136367,3.27033,-0.680504,
10,9847080,64901.5036391,4.5564,0.5737979999999999,
11,9847081,64901.4936415,5.58418,-0.44902200000000003,
12,9847082,64901.4836439,0.28318899999999997,0.395971,
13,9847083,64901.47364630001,-1.20005,-0.025692200000000002,
14,9847084,64901.463648699995,-4.78263,-0.125871,
15,9847085,64901.453651100004,-6.16146,-1.9703400000000002,
16,9847086,64901.4436535,-3.78855,-2.45549,
17,9847087,64901.4336559,-4.92968,-3.06869,
18,9847088,64901.42365830001,-0.43060600000000004,-2.7661599999999997,
19,9847089,64901.4136607,2.21443,0.8133739999999999,
20,9847090,64901.403663100005,2.3310299999999997,1.75978,
21,9847091,64901.3936655,2.13963,3.45235,
22,9847092,64901.3836679,1.16477,2.2092400000000003,
23,9847093,64901.37367030001,2.50355,0.453579,
24,9847094,64901.3636727,2.2229400000000004,-1.3208600000000001,
25,9847095,64901.35367509999,3.13698,-2.0159700000000003,
26,9847096,64901.3436775,0.5983069999999999,-0.50034,
27,9847097,64901.3336799,3.24757,2.59403,
28,9847098,64901.323682300004,3.27779,2.66903,
29,9847099,64901.3136847,0.116628,0.46740299999999996,
30,9847100,64901.30368709999,-2.56367,-0.609103,75.0
31,9847101,64901.293689499995,-0.726577,0.554226,
32,9847102,64901.283691900004,0.9264879999999999,1.83847,
33,9847103,64901.273694300005,4.05738,1.41016,
34,9847104,64901.2636967,3.7144,-0.5135390000000001,
35,9847105,64901.253699099994,2.50149,-2.34028,
36,9847106,64901.243701499996,1.2537399999999999,-2.44577,
37,9847107,64901.233703900005,2.03075,-0.78559,
38,9847108,64901.22370630001,1.9155,2.41932,
39,9847109,64901.2137087,1.32255,2.14697,
40,9847110,64901.203711099995,0.17113,-0.184136,
41,9847111,64901.1937135,0.429675,1.81359,
42,9847112,64901.183715900006,0.15120799999999998,7.2466,
43,9847113,64901.17371830001,0.258076,10.5504,
44,9847114,64901.1637207,2.2654099999999997,14.1077,
45,9847115,64901.1537231,1.07794,8.72454,
46,9847116,64901.1437255,1.1991399999999999,3.21942,
47,9847117,64901.13372790001,0.577803,3.8993800000000003,
48,9847118,64901.123730299994,-2.02775,2.25763,
49,9847119,64901.1137327,0.7080489999999999,7.96282,
50,9847120,64901.1037351,-3.22707,4.07764,
51,9847121,64901.0937375,-5.72141,0.197522,
52,9847122,64901.08373990001,-6.652010000000001,3.8582199999999998,
53,9847123,64901.073742299996,-8.62055,1.4911,
54,9847124,64901.063744700004,-4.18038,7.3608899999999995,
55,9847125,64901.0537471,-3.51214,0.27131900000000003,74.5856
56,9847126,64901.0437495,-6.45109,-3.21183,
57,9847127,64901.0337519,-6.54646,-5.64586,
58,9847128,64901.0237543,-8.47899,-3.5011900000000002,
59,9847129,64901.01375669999,-5.3882699999999994,1.4172799999999999,
60,9847130,64901.00375909999,-1.00585,5.34197,
61,9847131,64900.9937615,-1.16988,8.12089,
62,9847132,64900.9837639,0.393482,3.687,
63,9847133,64900.9737663,1.38666,4.47114,
64,9847134,64900.96376869999,2.6342,-2.70494,
65,9847135,64900.953771099994,0.08090019999999999,-1.1657899999999999,
66,9847136,64900.9437735,1.37284,-3.6926400000000004,
67,9847137,64900.933775900005,-0.362092,-1.93786,
68,9847138,64900.9237783,2.15102,0.408857,
69,9847139,64900.91378069999,4.56727,2.2015599999999997,
