,no,distance,accerelation_L,accerelation_R,velocity
1,6422219,99070.49247,8.764660000000001,14.2628,
2,6422220,99070.4825901,12.5247,19.2468,
3,6422221,99070.4727103,12.3155,20.6445,
4,6422222,99070.4628305,10.2605,11.298,
5,6422223,99070.4529507,9.6248,-0.148535,
6,6422224,99070.4430709,5.9619,-7.10685,
7,6422225,99070.4331911,-1.75775,-14.1691,90.301
8,6422226,99070.4233113,-6.9626,-11.6325,
9,6422227,99070.4134314,-10.3691,-9.051630000000001,
10,6422228,99070.4035516,-13.8408,-5.04645,
11,6422229,99070.3936718,-23.0697,-10.4161,
12,6422230,99070.383792,-26.8064,-16.8313,
13,6422231,99070.3739122,-33.448,-15.9957,
14,6422232,99070.3640324,-33.2965,-15.8459,
15,6422233,99070.3541526,-34.6519,-15.7211,
16,6422234,99070.3442727,-28.2578,-5.26746,
17,6422235,99070.3343929,-12.5471,3.47667,
18,6422236,99070.3245131,-9.99465,0.8593709999999999,
19,6422237,99070.3146333,-4.58435,-2.9948900000000003,
20,6422238,99070.3047535,-0.633482,-0.432888,
21,6422239,99070.2948737,0.582282,1.9538900000000001,
22,6422240,99070.2849939,-4.31153,0.065713,
23,6422241,99070.2751141,1.3612799999999998,5.925330000000001,
24,6422242,99070.2652342,13.5018,11.4131,
25,6422243,99070.2553544,15.642999999999999,11.6553,
26,6422244,99070.2454746,17.0797,9.31945,
27,6422245,99070.2355948,18.9581,8.63625,
28,6422246,99070.225715,18.5718,10.2541,
29,6422247,99070.2158352,11.3417,8.19474,
30,6422248,99070.2059554,16.0405,5.3259099999999995,
31,6422249,99070.1960755,17.3829,5.2788900000000005,
32,6422250,99070.1861957,14.2674,6.705139999999999,90.4523
33,6422251,99070.1763159,11.0785,-0.46291000000000004,
34,6422252,99070.1664361,8.78002,0.332239,
35,6422253,99070.1565563,5.444,-3.17185,
36,6422254,99070.1466765,-1.47482,-7.96438,
37,6422255,99070.1367967,-1.52604,-9.44465,
38,6422256,99070.1269169,-4.7655400000000006,-5.13635,
39,6422257,99070.117037,-10.7059,-8.10511,
40,6422258,99070.1071572,-12.7657,-7.50679,
41,6422259,99070.0972774,-10.8532,-6.3853599999999995,
42,6422260,99070.0873976,-11.0969,-9.1725,
43,6422261,99070.0775178,-11.7659,-12.7404,
44,6422262,99070.067638,-8.12002,-8.93872,
45,6422263,99070.0577582,-11.9828,-9.987039999999999,
46,6422264,99070.0478783,-8.113430000000001,-7.340730000000001,
47,6422265,99070.0379985,-3.41917,-0.677612,
48,6422266,99070.0281187,-2.74736,1.9330200000000002,
49,6422267,99070.0182389,-0.9509700000000001,0.589635,
50,6422268,99070.0083591,3.33757,5.26347,
51,6422269,99069.9984793,4.59915,3.92575,
52,6422270,99069.9885995,3.19604,5.12261,
53,6422271,99069.9787196,6.24998,6.95891,
54,6422272,99069.9688398,7.539960000000001,9.236889999999999,
55,6422273,99069.95896,9.16562,0.722164,
56,6422274,99069.9490802,9.90168,-2.22764,
57,6422275,99069.9392004,6.9452,-3.57323,90.301
58,6422276,99069.9293206,5.04657,-5.0826,
59,6422277,99069.9194408,4.288130000000001,-2.94263,
60,6422278,99069.909561,6.40682,1.4117600000000001,
61,6422279,99069.8996811,2.8330900000000003,0.29685300000000003,
62,6422280,99069.8898013,0.746929,-1.7872400000000002,
63,6422281,99069.8799215,1.37735,-1.59227,
64,6422282,99069.8700417,-2.92657,-0.7860010000000001,
65,6422283,99069.8601619,-3.57124,-1.39525,
66,6422284,99069.8502821,-4.99768,-0.469445,
67,6422285,99069.8404023,-2.4863299999999997,4.3303199999999995,
68,6422286,99069.8305224,-2.49155,4.41346,
69,6422287,99069.8206426,-0.67272,7.10135,
70,6422288,99069.8107628,1.21528,8.11168,
71,6422289,99069.800883,1.09399,9.52703,
72,6422290,99069.7910032,-0.8476950000000001,5.55408,
73,6422291,99069.7811234,-1.9998,4.14655,
74,6422292,99069.7712436,-3.7825800000000003,7.6775899999999995,
75,6422293,99069.7613637,-1.60153,8.58036,
76,6422294,99069.7514839,-2.75379,9.51384,
77,6422295,99069.7416041,0.224654,11.2191,
78,6422296,99069.7317243,3.64876,11.6165,
79,6422297,99069.7218445,3.56817,8.903189999999999,
80,6422298,99069.7119647,8.08183,6.44231,
81,6422299,99069.7020849,5.95573,3.2718,
82,6422300,99069.6922051,5.15608,0.21059899999999998,90.4523
83,6422301,99069.6823252,3.7932099999999997,-4.76412,
84,6422302,99069.6724454,3.81221,-2.01716,
85,6422303,99069.6625656,5.10941,-2.99797,
86,6422304,99069.6526858,5.24403,-6.17204,
87,6422305,99069.642806,6.61563,-7.56769,
88,6422306,99069.6329262,5.63669,-7.7565100000000005,
89,6422307,99069.6230464,1.51481,-1.3952,
90,6422308,99069.6131665,3.00494,-1.37847,
91,6422309,99069.6032867,1.37845,-0.349157,
92,6422310,99069.5934069,1.14404,-0.6444439999999999,
93,6422311,99069.5835271,0.794261,-0.135996,
94,6422312,99069.5736473,0.8682340000000001,1.9750400000000001,
95,6422313,99069.5637675,2.29708,3.7492099999999997,
96,6422314,99069.5538877,-0.119914,3.19563,
97,6422315,99069.5440078,2.35922,2.09366,
98,6422316,99069.534128,1.8097599999999998,2.59665,
99,6422317,99069.5242482,1.38524,4.89768,
100,6422318,99069.5143684,-1.11585,6.227180000000001,
101,6422319,99069.5044886,-1.6785599999999998,3.88369,
102,6422320,99069.4946088,-2.02219,2.67143,
103,6422321,99069.484729,-3.30566,-0.985512,
104,6422322,99069.4748492,-4.68445,1.1014899999999999,
105,6422323,99069.4649693,-5.11506,1.79182,
106,6422324,99069.4550895,-7.4633,1.14744,
107,6422325,99069.4452097,-10.9584,0.528148,90.4523
108,6422326,99069.4353299,-7.807510000000001,2.43837,
109,6422327,99069.4254501,-9.69624,3.3844300000000005,
110,6422328,99069.4155703,-7.45845,1.6618,
111,6422329,99069.4056905,-5.3902,-0.9247559999999999,
112,6422330,99069.3958106,-7.2743199999999995,-5.2628900000000005,
113,6422331,99069.3859308,-11.263,-9.77111,
114,6422332,99069.376051,-9.716560000000001,-8.26032,
115,6422333,99069.3661712,-9.67333,-7.3966,
116,6422334,99069.3562914,-7.87062,-4.11,
