,no,distance,accerelation_L,accerelation_R,velocity
1,2124359,142000.89090899998,3.37382,2.7420400000000003,
2,2124360,142000.880899,-1.9871400000000001,-2.03139,
3,2124361,142000.870888,0.45271000000000006,-4.948919999999999,
4,2124362,142000.860878,4.5618300000000005,-7.5838,
5,2124363,142000.850868,5.69736,-5.318890000000001,
6,2124364,142000.84085799998,3.83205,-4.6243300000000005,
7,2124365,142000.830847,1.00463,-4.03247,
8,2124366,142000.82083699998,-0.495068,-3.32113,
9,2124367,142000.810827,-0.427429,-1.11496,
10,2124368,142000.800817,-3.33877,0.653069,
11,2124369,142000.79080699998,-0.890581,2.73561,
12,2124370,142000.780796,5.93925,3.80942,
13,2124371,142000.77078599998,7.3148100000000005,4.1566,
14,2124372,142000.760776,0.46855399999999997,2.81928,
15,2124373,142000.750766,-3.82925,1.42503,
16,2124374,142000.74075599998,-4.27843,2.03959,
17,2124375,142000.730745,-0.21981900000000001,3.9103199999999996,55.2712
18,2124376,142000.72073499998,-0.419735,1.5626200000000001,
19,2124377,142000.710725,-4.52755,-2.43617,
20,2124378,142000.700715,-7.714980000000001,-3.51416,
21,2124379,142000.690705,-4.2655400000000006,-1.11671,
22,2124380,142000.680694,-4.7411900000000005,0.428534,
23,2124381,142000.67068399998,-5.42928,2.72312,
24,2124382,142000.660674,-5.00776,5.08486,
25,2124383,142000.65066400002,-5.0545,6.59507,
26,2124384,142000.640653,-5.61644,6.00389,
27,2124385,142000.630643,-3.93565,7.77226,
28,2124386,142000.62063299998,-4.22801,11.5567,
29,2124387,142000.61062300002,-3.5188900000000003,10.0991,
30,2124388,142000.60061300002,-0.25396199999999997,5.82201,
31,2124389,142000.590602,2.06365,2.74634,
32,2124390,142000.580592,1.85752,-1.31466,
33,2124391,142000.570582,-0.201587,-5.483630000000001,
34,2124392,142000.56057200002,0.8412850000000001,-4.3714900000000005,
35,2124393,142000.550562,2.67096,-5.082380000000001,
36,2124394,142000.540551,6.28563,-3.22155,
37,2124395,142000.53054100001,11.2686,-2.41217,
38,2124396,142000.520531,13.9751,-3.3030699999999995,
39,2124397,142000.51052100002,11.8943,-5.09112,
40,2124398,142000.500511,7.63474,-4.38698,
41,2124399,142000.4905,1.27305,-2.77327,
42,2124400,142000.48049000002,-4.19016,2.61884,54.9898
43,2124401,142000.47048,-8.32158,4.78646,
44,2124402,142000.46047,-10.6672,3.26505,
45,2124403,142000.45045899999,-11.0894,1.27874,
46,2124404,142000.440449,-10.3894,0.0102001,
47,2124405,142000.43043900002,-7.36225,-2.9630799999999997,
48,2124406,142000.420429,-4.206580000000001,-5.38351,
49,2124407,142000.410419,-1.55589,-10.0787,
50,2124408,142000.400408,3.33558,-12.6812,
51,2124409,142000.390398,8.36332,-10.5441,
52,2124410,142000.38038800002,11.1209,-5.9008400000000005,
53,2124411,142000.370378,11.1219,-2.23362,
54,2124412,142000.360368,9.65432,3.5109199999999996,
55,2124413,142000.350357,2.98447,4.274369999999999,
56,2124414,142000.340347,0.349646,8.32777,
57,2124415,142000.330337,1.23936,6.51829,
58,2124416,142000.320327,2.72744,7.08782,
59,2124417,142000.310317,-2.6764099999999997,5.30849,
60,2124418,142000.300306,-4.22808,2.21749,
61,2124419,142000.290296,-3.78401,-1.25942,
62,2124420,142000.280286,-2.15777,-3.41905,
63,2124421,142000.270276,-3.8826699999999996,-8.71301,
64,2124422,142000.26026500002,-1.5418399999999999,-9.096860000000001,
65,2124423,142000.250255,-0.053625599999999995,-9.10656,
66,2124424,142000.240245,0.64827,-6.12967,
67,2124425,142000.230235,1.25319,-3.6044300000000002,55.3279
68,2124426,142000.220225,2.87115,-0.64254,
69,2124427,142000.21021400002,2.40537,0.7762359999999999,
70,2124428,142000.200204,2.32317,3.0286,
71,2124429,142000.190194,1.92393,5.79981,
72,2124430,142000.180184,-1.23082,6.0932,
73,2124431,142000.170174,-5.25621,2.9732,
74,2124432,142000.16016300002,-6.04568,1.1173,
75,2124433,142000.150153,-1.4111200000000002,-1.48085,
76,2124434,142000.140143,2.4074,-5.2442400000000005,
77,2124435,142000.130133,5.2653300000000005,-7.431839999999999,
78,2124436,142000.120123,1.08181,-7.1501600000000005,
79,2124437,142000.110112,-1.94963,-3.73809,
80,2124438,142000.100102,1.31182,-0.7327319999999999,
81,2124439,142000.090092,6.83195,1.18713,
