,no,distance,accerelation_L,accerelation_R,velocity
1,8334003,80001.9984013,-4.35467,-5.41705,
2,8334004,80001.9884093,-10.7246,-3.3927199999999997,
3,8334005,80001.9784173,-9.75563,-2.63813,
4,8334006,80001.9684253,-16.3381,0.42563199999999995,
5,8334007,80001.95843330001,-18.9067,1.21885,
6,8334008,80001.94844119999,-22.7727,5.5071900000000005,
7,8334009,80001.9384492,-12.5875,5.23749,
8,8334010,80001.9284572,7.94768,8.09773,
9,8334011,80001.9184652,34.372,5.15874,
10,8334012,80001.9084732,53.2962,5.30279,
11,8334013,80001.8984812,57.9894,3.57009,
12,8334014,80001.88848919999,40.4729,8.74287,
13,8334015,80001.8784972,18.2032,9.94395,
14,8334016,80001.8685052,-3.5319599999999998,12.1197,
15,8334017,80001.8585132,-11.7286,9.82605,
16,8334018,80001.8485212,-15.502,11.3021,
17,8334019,80001.83852919999,-20.0905,0.966167,
18,8334020,80001.8285372,-12.8681,-9.33943,
19,8334021,80001.8185452,-11.7294,-15.3094,
20,8334022,80001.8085532,-8.3438,-16.637999999999998,
21,8334023,80001.7985612,-6.61419,-15.2479,
22,8334024,80001.78856910001,-8.82426,-12.488,
23,8334025,80001.7785771,-9.32594,-8.55304,73.9726
24,8334026,80001.76858510001,-16.0851,-5.03074,
25,8334027,80001.7585931,-14.95,-4.43821,
26,8334028,80001.7486011,-11.1457,-1.78252,
27,8334029,80001.73860910001,-5.58365,3.05554,
28,8334030,80001.7286171,2.1202900000000002,7.73068,
29,8334031,80001.71862510001,3.8556199999999996,3.49747,
30,8334032,80001.7086331,6.90825,1.0096399999999999,
31,8334033,80001.6986411,7.33603,-1.7825099999999998,
32,8334034,80001.6886491,10.9011,-1.11584,
33,8334035,80001.67865710001,10.6707,-1.16321,
34,8334036,80001.6686651,9.28989,1.55582,
35,8334037,80001.65867310001,7.0385,3.61366,
36,8334038,80001.6486811,2.20885,6.3743,
37,8334039,80001.638689,-0.7640560000000001,8.02625,
38,8334040,80001.62869700001,-3.4129300000000002,9.10967,
39,8334041,80001.618705,-2.1253,11.1432,
40,8334042,80001.608713,-0.8863770000000001,5.87191,
41,8334043,80001.598721,-2.0916799999999998,0.586747,
42,8334044,80001.588729,-2.0205,-0.245811,
43,8334045,80001.578737,-4.68011,-2.80605,
44,8334046,80001.56874500001,-4.10205,-5.59004,
45,8334047,80001.55875299999,-3.19696,-5.12714,
46,8334048,80001.548761,3.09826,-5.4238800000000005,
47,8334049,80001.538769,2.98552,-4.19676,
48,8334050,80001.528777,4.35117,-1.94314,74.0741
49,8334051,80001.51878500001,3.05764,-1.34304,
50,8334052,80001.508793,2.04238,0.273829,
51,8334053,80001.498801,1.4475,4.80845,
52,8334054,80001.488809,0.332349,4.291869999999999,
53,8334055,80001.4788169,0.770529,2.42634,
54,8334056,80001.46882489999,1.1503299999999999,3.9736,
55,8334057,80001.4588329,0.18798800000000002,1.3014299999999999,
56,8334058,80001.44884089999,1.00975,-3.54224,
57,8334059,80001.4388489,0.9021319999999999,-3.17197,
58,8334060,80001.42885689999,3.6193,-5.61376,
59,8334061,80001.4188649,0.831744,-5.77345,
60,8334062,80001.40887289999,1.35774,-1.95249,
61,8334063,80001.39888089999,0.45518400000000003,-1.80814,
62,8334064,80001.3888889,-2.16375,-0.206127,
63,8334065,80001.3788969,-2.818,0.60883,
64,8334066,80001.3689049,-4.72314,-1.94287,
65,8334067,80001.35891289999,-3.3504699999999996,0.6015689999999999,
66,8334068,80001.3489209,-3.11952,4.1548099999999994,
67,8334069,80001.33892889999,-1.30685,2.92329,
68,8334070,80001.3289369,-0.655756,5.60447,
69,8334071,80001.3189448,1.5576,5.28894,
70,8334072,80001.3089528,4.2294,4.40864,
71,8334073,80001.2989608,4.71232,3.95511,
72,8334074,80001.28896880001,4.99306,0.673863,
73,8334075,80001.27897680001,4.08723,0.5908100000000001,74.0741
74,8334076,80001.2689848,4.0130099999999995,0.9552790000000001,
75,8334077,80001.2589928,2.4741299999999997,-1.7832700000000001,
76,8334078,80001.2490008,-0.560052,-0.8701200000000001,
77,8334079,80001.23900880001,-0.531007,1.03205,
78,8334080,80001.2290168,-0.40418000000000004,1.3477,
79,8334081,80001.2190248,-1.9396200000000001,1.0667,
80,8334082,80001.2090328,-3.61113,-1.03807,
81,8334083,80001.1990408,-3.1651,-1.82965,
82,8334084,80001.1890488,-2.90558,-3.5153800000000004,
83,8334085,80001.17905680001,-1.177,-5.77085,
84,8334086,80001.16906469999,-0.16179300000000002,-8.08758,
85,8334087,80001.1590727,2.54145,-9.215539999999999,
86,8334088,80001.1490807,3.9328300000000005,-8.15313,
87,8334089,80001.1390887,3.7328,-6.16139,
88,8334090,80001.1290967,1.07231,-2.40449,
89,8334091,80001.11910469999,-0.244157,1.59981,
90,8334092,80001.1091127,-0.5074850000000001,6.98762,
91,8334093,80001.0991207,-1.43886,10.589,
92,8334094,80001.0891287,-1.29072,8.73715,
93,8334095,80001.0791367,0.341021,5.429209999999999,
94,8334096,80001.0691447,2.4415299999999998,1.27281,
95,8334097,80001.05915269999,4.69114,-3.03935,
96,8334098,80001.0491607,6.932189999999999,-4.5560599999999996,
97,8334099,80001.0391687,4.74426,-5.5738900000000005,
98,8334100,80001.0291767,5.02904,-3.9185800000000004,73.7705
99,8334101,80001.0191847,0.323839,-3.48105,
100,8334102,80001.00919260002,-0.776849,-4.61255,
101,8334103,80000.99920060001,-2.5093,-1.68725,
102,8334104,80000.9892086,-2.84957,-3.3383,
103,8334105,80000.9792166,-5.21237,-0.7435689999999999,
104,8334106,80000.9692246,-4.71448,-2.8725099999999997,
105,8334107,80000.95923260001,-4.44168,-1.90707,
106,8334108,80000.9492406,-3.43546,-2.88393,
107,8334109,80000.9392486,-2.11361,-1.9550400000000001,
108,8334110,80000.92925660001,-0.600245,-3.9353800000000003,
109,8334111,80000.9192646,0.774131,-3.72296,
110,8334112,80000.90927260001,2.3026400000000002,-2.41198,
111,8334113,80000.89928060002,2.07091,1.2616100000000001,
112,8334114,80000.88928860001,1.98035,4.2515,
113,8334115,80000.8792966,-0.808116,6.17963,
114,8334116,80000.8693046,1.02354,7.83127,
115,8334117,80000.8593125,1.87612,10.0041,
116,8334118,80000.8493205,5.47116,9.22781,
117,8334119,80000.83932849999,5.66021,7.7237800000000005,
118,8334120,80000.8293365,6.8001,4.80322,
119,8334121,80000.8193445,5.60883,1.3541299999999998,
