,no,distance,accerelation_L,accerelation_R,velocity
1,9850052,64871.7907702,11.1519,-3.91794,
2,9850053,64871.780772599996,17.7697,-3.51603,
3,9850054,64871.770775,18.9241,-2.69252,
4,9850055,64871.760777400006,17.2626,1.7144,
5,9850056,64871.7507798,9.49818,2.90731,
6,9850057,64871.7407822,4.47864,7.20125,
7,9850058,64871.7307846,2.18614,8.95628,
8,9850059,64871.720787,2.3082700000000003,7.913939999999999,
9,9850060,64871.71078940001,3.2347,6.00937,
10,9850061,64871.7007918,3.73484,5.3209599999999995,
11,9850062,64871.69079419999,1.7682200000000001,6.24375,
12,9850063,64871.6807966,-0.206242,7.58012,
13,9850064,64871.670799,-1.07666,8.49597,
14,9850065,64871.66080140001,-1.4173,7.755319999999999,
15,9850066,64871.650803799996,-2.93913,6.827789999999999,
16,9850067,64871.64080619999,-5.18919,8.227269999999999,
17,9850068,64871.6308086,-10.0874,10.2117,
18,9850069,64871.620811,-14.8962,15.0106,
19,9850070,64871.61081340001,-18.6932,16.1647,
20,9850071,64871.6008158,-19.9866,13.7723,
21,9850072,64871.59081819999,-20.5829,11.82,
22,9850073,64871.5808206,-19.6157,9.45288,
23,9850074,64871.570823,-18.1922,5.57556,
24,9850075,64871.5608254,-16.8521,4.3493900000000005,74.4828
25,9850076,64871.5508278,-12.5783,0.319495,
26,9850077,64871.54083019999,-8.310939999999999,-4.389959999999999,
27,9850078,64871.530832599994,-9.70578,-7.907189999999999,
28,9850079,64871.520835,-10.5658,-11.2261,
29,9850080,64871.510837400005,-11.1839,-9.39932,
30,9850081,64871.5008398,-9.30435,-7.94124,
31,9850082,64871.49084219999,-6.32541,-11.2341,
32,9850083,64871.480844599995,-3.6731199999999995,-11.7036,
33,9850084,64871.470847000004,-5.3913400000000005,-10.9835,
34,9850085,64871.4608494,-8.7902,-6.70291,
35,9850086,64871.4508518,-10.9465,-1.0947200000000001,
36,9850087,64871.440854199995,-12.7095,-0.860095,
37,9850088,64871.430856599996,-14.9404,1.72796,
38,9850089,64871.420859000005,-18.8046,4.00988,
39,9850090,64871.4108614,-21.7273,9.94463,
40,9850091,64871.4008638,-20.2562,16.8125,
41,9850092,64871.390866199996,-20.9943,19.9,
42,9850093,64871.3808686,-19.6785,24.971,
43,9850094,64871.37087100001,-16.3509,27.5055,
44,9850095,64871.36087339999,-3.05697,26.8893,
45,9850096,64871.3508758,13.1203,22.9328,
46,9850097,64871.3408782,17.7622,22.2818,
47,9850098,64871.3308806,15.418,23.2672,
48,9850099,64871.32088300001,12.8717,24.4016,
49,9850100,64871.310885399995,12.2609,15.3903,74.7922
50,9850101,64871.300887800004,20.2289,6.34506,
51,9850102,64871.2908902,24.9273,-4.08408,
52,9850103,64871.2808926,23.8512,-11.927,
53,9850104,64871.270895,21.6467,-17.0027,
54,9850105,64871.260897399996,25.447,-17.7026,
55,9850106,64871.250899800005,30.5558,-21.4203,
56,9850107,64871.24090219999,35.0585,-24.1638,
57,9850108,64871.2309046,38.9166,-31.0777,
58,9850109,64871.220907,35.6275,-35.3692,
59,9850110,64871.2109094,31.329,-33.7125,
60,9850111,64871.200911800006,20.6739,-27.9397,
61,9850112,64871.19091419999,12.5217,-21.7564,
62,9850113,64871.1809166,6.557760000000001,-18.8545,
63,9850114,64871.170919000004,6.763539999999999,-15.9755,
64,9850115,64871.1609214,3.8831300000000004,-8.76732,
65,9850116,64871.15092380001,4.02961,-0.47972299999999996,
66,9850117,64871.140926199994,2.39567,-1.5012299999999998,
67,9850118,64871.1309286,2.58417,-6.57705,
68,9850119,64871.120931,0.860152,-15.4186,
69,9850120,64871.1109334,-3.4420800000000003,-16.6256,
70,9850121,64871.1009358,-8.95065,-9.44763,
71,9850122,64871.090938199995,-15.4113,-0.136626,
72,9850123,64871.080940600004,-25.1378,5.404730000000001,
73,9850124,64871.07094299999,-32.3678,8.61866,
74,9850125,64871.0609454,-36.3135,10.6667,74.7922
75,9850126,64871.0509478,-36.3281,10.8531,
76,9850127,64871.0409502,-29.3475,12.5778,
77,9850128,64871.030952600006,-22.1122,13.4297,
78,9850129,64871.02095499999,-15.2251,11.2202,
79,9850130,64871.0109574,-10.4554,12.8737,
80,9850131,64871.0009598,-3.61046,10.8531,
81,9850132,64870.9909622,2.93044,12.7899,
82,9850133,64870.9809646,13.9897,17.483,
83,9850134,64870.970966999994,17.533,16.3349,
84,9850135,64870.9609694,16.572,14.157,
85,9850136,64870.950971800004,16.4292,11.1737,
86,9850137,64870.9409742,18.9295,1.68832,
87,9850138,64870.9309766,20.6565,-2.93206,
88,9850139,64870.920978999995,22.7477,-1.6436400000000002,
89,9850140,64870.910981400004,21.4328,-2.5474,
90,9850141,64870.900983800006,18.9266,-2.38742,
91,9850142,64870.8909862,12.9284,-4.12826,
92,9850143,64870.8809886,7.104139999999999,-9.60924,
