,no,distance,accerelation_L,accerelation_R,velocity
1,505723,158136.998761,4.05203,-12.0091,
2,505724,158136.988766,5.09624,-7.51417,
3,505725,158136.978771,3.18316,-3.5474,85.8506
4,505726,158136.968776,-1.97215,-1.03191,
5,505727,158136.958781,-6.756069999999999,3.04093,
6,505728,158136.948787,-11.5549,8.61572,
7,505729,158136.938792,-13.556,13.3388,
8,505730,158136.928797,-11.1202,15.5195,
9,505731,158136.918802,-7.573760000000001,20.3407,
10,505732,158136.908807,-8.96013,15.6708,
11,505733,158136.898813,-9.81122,11.1015,
12,505734,158136.888818,-7.8279,1.8923299999999998,
13,505735,158136.878823,-6.3155,0.47513999999999995,
14,505736,158136.868828,-2.4344799999999998,-6.34264,
15,505737,158136.858833,-0.0683022,-8.87535,
16,505738,158136.848839,1.73501,-12.633,
17,505739,158136.838844,4.02915,-18.5518,
18,505740,158136.828849,4.6563099999999995,-24.4408,
19,505741,158136.81885399998,4.360609999999999,-25.1168,
20,505742,158136.80885899998,3.5605900000000004,-21.1959,
21,505743,158136.79886500002,1.61753,-14.9101,
22,505744,158136.78887000002,0.8010430000000001,-5.96234,
23,505745,158136.778875,0.225305,2.2031099999999997,
24,505746,158136.76888,0.463492,10.8094,
25,505747,158136.758885,-1.12986,15.4674,
26,505748,158136.748891,-1.41582,20.85,
27,505749,158136.738896,-0.844249,20.7339,
28,505750,158136.728901,0.45530299999999996,21.0364,85.8506
29,505751,158136.718906,2.37354,15.2077,
30,505752,158136.708911,6.45878,5.96563,
31,505753,158136.698917,7.734710000000001,-7.82798,
32,505754,158136.688922,10.8952,-17.9883,
33,505755,158136.678927,12.1964,-23.4182,
34,505756,158136.668932,13.0166,-23.5666,
35,505757,158136.658937,14.3879,-23.554000000000002,
36,505758,158136.648943,14.6604,-20.9719,
37,505759,158136.638948,10.7266,-18.1813,
38,505760,158136.628953,3.24373,-14.5184,
39,505761,158136.618958,-3.15902,-5.87829,
40,505762,158136.608963,-7.7122,6.10876,
41,505763,158136.598969,-9.355889999999999,13.5022,
42,505764,158136.588974,-8.83869,19.2555,
43,505765,158136.57897899998,-6.58564,20.3458,
44,505766,158136.56898399998,-5.73355,18.0048,
45,505767,158136.558989,-0.885114,10.8981,
46,505768,158136.54899500002,2.20472,-0.114319,
47,505769,158136.539,3.09039,-9.04508,
48,505770,158136.529005,1.52052,-13.0676,
49,505771,158136.51901,4.0673900000000005,-11.1129,
50,505772,158136.50901500002,3.12775,-11.1268,
51,505773,158136.499021,3.23093,-8.30689,
52,505774,158136.489026,1.74197,-6.4653599999999996,
53,505775,158136.479031,-2.03863,-5.11629,85.9873
54,505776,158136.469036,-7.45377,-1.19678,
55,505777,158136.459041,-9.27691,6.5915,
56,505778,158136.449046,-8.68924,15.9974,
57,505779,158136.439052,-4.37024,20.1049,
58,505780,158136.429057,-0.849568,20.7297,
59,505781,158136.419062,0.542574,10.8249,
60,505782,158136.409067,1.73705,9.07184,
61,505783,158136.399072,1.95735,-1.14611,
62,505784,158136.389078,3.5921800000000004,-5.44914,
63,505785,158136.37908299998,3.8507300000000004,-8.22292,
64,505786,158136.369088,3.7385599999999997,-9.83763,
65,505787,158136.359093,0.6152850000000001,-6.9068,
66,505788,158136.349098,0.688365,-6.27825,
67,505789,158136.33910399998,0.15399000000000002,-3.76016,
68,505790,158136.32910899998,2.0868900000000004,-7.9435899999999995,
69,505791,158136.319114,-0.8637940000000001,-10.8924,
70,505792,158136.309119,-1.9828299999999999,-6.653560000000001,
71,505793,158136.299124,-4.91389,-4.77531,
72,505794,158136.28913,-3.26538,1.63762,
73,505795,158136.279135,-2.13032,4.30483,
74,505796,158136.26914000002,-0.303374,6.200830000000001,
75,505797,158136.25914500002,-1.1484299999999998,-1.48653,
76,505798,158136.24915,-3.7872800000000004,-1.0737299999999999,
77,505799,158136.239156,-5.3977699999999995,-4.46237,
78,505800,158136.229161,-4.491140000000001,-3.2928900000000003,85.8506
79,505801,158136.219166,-1.91825,-5.15672,
80,505802,158136.209171,-0.8298639999999999,0.8801389999999999,
81,505803,158136.199176,-1.2263,4.0105900000000005,
82,505804,158136.189182,0.398701,8.95253,
83,505805,158136.179187,4.43759,7.6661,
84,505806,158136.169192,4.54465,8.31456,
85,505807,158136.159197,2.4596,-1.8759400000000002,
86,505808,158136.149202,0.137284,8.78777,
87,505809,158136.13920799998,0.886438,7.7880899999999995,
88,505810,158136.129213,-0.38561100000000004,12.5612,
89,505811,158136.119218,0.299797,11.5749,
90,505812,158136.109223,-1.79636,10.3511,
91,505813,158136.099228,-4.94837,4.1723300000000005,
92,505814,158136.08923399998,-5.1278,-1.55518,
93,505815,158136.079239,-6.18767,-4.491280000000001,
94,505816,158136.069244,-5.43015,-1.92642,
95,505817,158136.059249,-4.97956,0.786658,
96,505818,158136.04925399998,-3.9163,1.8461900000000002,
97,505819,158136.03926,-4.2767800000000005,4.2014,
98,505820,158136.02926500002,-1.7457900000000002,2.89679,
99,505821,158136.01927000002,-2.37549,2.7699599999999998,
100,505822,158136.009275,-0.874266,-4.13915,
101,505823,158135.99928,-1.08433,-2.04371,
102,505824,158135.989286,-0.139658,-3.38795,
103,505825,158135.979291,0.33112199999999997,4.131819999999999,85.8506
104,505826,158135.969296,4.12845,-3.4508699999999997,
105,505827,158135.959301,4.1921,2.1966799999999997,
106,505828,158135.949306,6.80351,-1.62619,
107,505829,158135.939312,4.517440000000001,1.61845,
108,505830,158135.929317,4.50634,-2.3858599999999996,
109,505831,158135.919322,4.90941,-1.0490000000000002,
110,505832,158135.909327,5.39703,-0.916832,
111,505833,158135.899332,3.7545699999999997,1.49767,
112,505834,158135.889338,2.9391599999999998,3.44995,
113,505835,158135.879343,2.3879,-0.0610284,
114,505836,158135.869348,1.501,0.167914,
115,505837,158135.859353,0.442935,-0.107851,
116,505838,158135.849358,2.70567,-2.00463,
117,505839,158135.839364,1.57351,-2.7281,
118,505840,158135.829369,4.15461,-7.30554,
119,505841,158135.819374,2.19227,-6.95657,
120,505842,158135.80937899998,4.8191,-5.60314,
121,505843,158135.79938399998,4.17837,-4.69645,
122,505844,158135.78939000002,3.35816,-2.25805,
123,505845,158135.779395,2.34123,-6.90947,
124,505846,158135.7694,0.73278,-2.72606,
125,505847,158135.759405,-0.414304,-4.27802,
126,505848,158135.74941,-1.24076,1.7752,
127,505849,158135.739416,1.1356600000000001,1.83864,
128,505850,158135.729421,1.38368,6.85807,85.9873
129,505851,158135.719426,2.8411299999999997,2.47396,
130,505852,158135.709431,-1.0538299999999998,-1.2463600000000001,
131,505853,158135.699436,-3.2922800000000003,-3.04147,
132,505854,158135.689441,-2.96307,-3.18627,
133,505855,158135.679447,-7.1466199999999995,-5.344469999999999,
134,505856,158135.669452,-0.19100999999999999,-4.33997,
135,505857,158135.659457,2.7250099999999997,7.0186,
136,505858,158135.649462,1.25239,15.7445,
137,505859,158135.639467,-0.366,23.2501,
138,505860,158135.629473,3.6517199999999996,24.1205,
139,505861,158135.619478,1.43315,16.3361,
140,505862,158135.60948299998,10.1753,21.537,
141,505863,158135.599488,6.21785,18.4386,
142,505864,158135.589493,3.59904,5.55805,
143,505865,158135.579499,0.490361,1.7490700000000001,
144,505866,158135.56950399998,4.58226,3.55196,
145,505867,158135.55950899998,-0.22085900000000003,-8.660810000000001,
146,505868,158135.549514,1.7922799999999999,-12.1962,
147,505869,158135.539519,-4.13783,-6.81221,
148,505870,158135.529525,-0.6834819999999999,-7.12754,
149,505871,158135.51953,-1.6712799999999999,-10.0209,
150,505872,158135.509535,-0.570283,-13.7238,
151,505873,158135.49954000002,-4.50115,-9.41725,
152,505874,158135.48954500002,-5.77274,-11.9546,
153,505875,158135.479551,-7.370589999999999,-4.13063,85.443
154,505876,158135.469556,-6.08814,-12.1917,
155,505877,158135.459561,-6.959239999999999,-12.3096,
156,505878,158135.449566,-5.75753,-6.14689,
157,505879,158135.439571,-6.752730000000001,3.41991,
158,505880,158135.429577,-6.63391,-2.76764,
159,505881,158135.419582,-6.29932,-1.1665299999999998,
160,505882,158135.409587,-4.62314,0.576704,
161,505883,158135.399592,-5.79249,4.88658,
162,505884,158135.389597,-0.387204,7.271910000000001,
163,505885,158135.379603,0.38519000000000003,6.8307199999999995,
164,505886,158135.36960799998,0.7549859999999999,4.54737,
165,505887,158135.359613,1.55785,3.37835,
166,505888,158135.349618,3.3317099999999997,4.31049,
167,505889,158135.339623,6.40385,3.9419199999999996,
168,505890,158135.32962899999,9.04473,4.20437,
169,505891,158135.31963399998,9.0234,6.907489999999999,
170,505892,158135.309639,10.3399,5.134119999999999,
171,505893,158135.299644,10.167,1.08117,
172,505894,158135.289649,7.080660000000001,3.63705,
173,505895,158135.279655,5.80028,7.09559,
174,505896,158135.26966,0.0946457,8.121889999999999,
175,505897,158135.25966500002,-3.24859,10.1423,
176,505898,158135.24967000002,-2.3297,13.6969,
177,505899,158135.239675,-3.9312400000000003,10.5238,
178,505900,158135.229681,-7.57282,9.43593,85.8506
179,505901,158135.219686,-4.117780000000001,9.2135,
