,no,distance,accerelation_L,accerelation_R,velocity
1,13271050,30694.495725800003,5.6125,-38.1777,45.1505
2,13271051,30694.485692500002,8.8518,-24.835,
3,13271052,30694.4756592,7.06159,-6.3137,
4,13271053,30694.4656259,0.0334952,1.91491,
5,13271054,30694.4555926,-0.373192,8.77248,
6,13271055,30694.4455593,2.04345,6.45149,
7,13271056,30694.4355259,-4.24089,5.05105,
8,13271057,30694.4254926,-7.84323,5.204219999999999,
9,13271058,30694.4154593,-8.07065,10.2555,
10,13271059,30694.405425999998,-10.0276,12.4659,
11,13271060,30694.3953927,-7.64422,13.8504,
12,13271061,30694.385359400003,-9.64862,5.5220400000000005,
13,13271062,30694.3753261,-15.1952,1.50997,
14,13271063,30694.365292799997,-5.31752,1.56274,
15,13271064,30694.355259500004,2.12945,-3.2045,
16,13271065,30694.345226200003,-0.9002020000000001,-3.69495,
17,13271066,30694.335192799997,0.874273,-0.0890821,
18,13271067,30694.325159500004,7.13806,-1.17093,
19,13271068,30694.315126200003,14.2787,-6.91569,
20,13271069,30694.305092900002,12.54,-1.58523,
21,13271070,30694.295059599997,8.86003,-0.414026,
22,13271071,30694.2850263,9.88338,-2.97107,
23,13271072,30694.274993,6.11281,-4.95926,
24,13271073,30694.2649597,1.3747,-9.514610000000001,
25,13271074,30694.2549264,-2.43508,-7.74913,
26,13271075,30694.244893,-7.64918,-2.19578,45.1505
27,13271076,30694.234859700002,-9.96415,1.00394,
28,13271077,30694.2248264,-8.75312,2.38383,
29,13271078,30694.2147931,-5.863230000000001,5.58215,
30,13271079,30694.2047598,0.0104512,2.82082,
31,13271080,30694.194726499998,4.73984,1.55849,
32,13271081,30694.184693199997,5.46445,2.37787,
33,13271082,30694.174659900003,5.7037,6.39695,
34,13271083,30694.1646266,5.44768,3.12692,
35,13271084,30694.154593199997,4.41763,0.594208,
36,13271085,30694.144559900004,1.77984,2.1480799999999998,
37,13271086,30694.1345266,-0.047785,0.780857,
38,13271087,30694.124493299998,-1.7281099999999998,-6.95697,
39,13271088,30694.11446,-3.18594,-7.4748600000000005,
40,13271089,30694.104426700003,-5.83751,-6.9375,
41,13271090,30694.094393400002,-8.261569999999999,-6.43676,
42,13271091,30694.0843601,-4.88521,-2.54241,
43,13271092,30694.0743268,-1.7861599999999997,0.411029,
44,13271093,30694.0642935,3.25791,0.9537969999999999,
45,13271094,30694.0542601,5.89829,1.06079,
46,13271095,30694.0442268,8.51453,1.6057,
47,13271096,30694.0341935,8.945730000000001,0.619356,
48,13271097,30694.0241602,3.9132,4.87706,
49,13271098,30694.014126899998,-0.5489189999999999,7.51577,
50,13271099,30694.0040936,-4.06211,3.92328,
51,13271100,30693.9940603,-6.81795,-0.7223609999999999,44.8505
52,13271101,30693.984027,-2.69694,-1.8091400000000002,
53,13271102,30693.973993700005,-3.72115,-2.54677,
54,13271103,30693.9639603,-4.5629599999999995,-2.1049599999999997,
55,13271104,30693.953927,-3.23148,-0.8242950000000001,
56,13271105,30693.943893700005,-5.3349,-0.8564870000000001,
57,13271106,30693.933860400004,-4.51194,3.15535,
58,13271107,30693.923827099996,-2.2155299999999998,4.09445,
59,13271108,30693.913793799995,-1.52661,2.41776,
60,13271109,30693.9037605,0.23317600000000002,1.58867,
61,13271110,30693.8937272,4.68838,-2.25983,
62,13271111,30693.8836939,6.0133,-6.17604,
63,13271112,30693.873660600002,6.08114,-4.3909400000000005,
64,13271113,30693.8636272,3.70557,-1.15951,
65,13271114,30693.8535939,-0.45180200000000004,0.65766,
66,13271115,30693.843560600002,-1.36839,4.0194,
67,13271116,30693.8335273,-1.73045,4.46889,
68,13271117,30693.823494,-3.3589599999999997,1.19116,
69,13271118,30693.8134607,-0.045455300000000004,-1.33711,
70,13271119,30693.8034274,3.70695,-6.4313199999999995,
71,13271120,30693.793394099997,1.7661099999999998,-6.304530000000001,
72,13271121,30693.783360799996,-1.8124799999999999,-0.269323,
73,13271122,30693.7733274,-5.29592,2.24283,
74,13271123,30693.763294099997,-5.7691099999999995,1.54108,
75,13271124,30693.753260799996,-3.7165199999999996,1.6273600000000001,
76,13271125,30693.7432275,-2.4452599999999998,-0.138715,45.0375
77,13271126,30693.733194200002,-0.30305,1.9342400000000002,
78,13271127,30693.7231609,3.31187,4.97081,
79,13271128,30693.713127599996,3.6680599999999997,1.15678,
80,13271129,30693.703094300003,3.95801,-3.1383,
81,13271130,30693.693061,4.067019999999999,-3.06078,
82,13271131,30693.6830277,2.91793,-4.05969,
83,13271132,30693.672994300003,3.3290599999999997,-3.76464,
84,13271133,30693.662961,2.3157799999999997,-2.0888,
85,13271134,30693.6529277,-3.90004,-3.56775,
