,no,distance,accerelation_L,accerelation_R,velocity
1,4143674,121816.694681,-25.6628,63.6068,
2,4143675,121816.684676,-22.4825,57.8089,77.3639
3,4143676,121816.674671,-27.3312,24.3468,
4,4143677,121816.66466600001,-12.4099,8.54518,
5,4143678,121816.65465999999,-15.705,-19.9699,
6,4143679,121816.644655,-13.0437,-4.6649,
7,4143680,121816.63465,-26.999000000000002,-7.831110000000001,
8,4143681,121816.624645,-24.7178,43.9799,
9,4143682,121816.61464000001,-8.51789,74.0817,
10,4143683,121816.60463399999,5.43001,99.6412,
11,4143684,121816.594629,6.037059999999999,92.2115,
12,4143685,121816.584624,4.706180000000001,56.1547,
13,4143686,121816.574619,-6.34618,26.1343,
14,4143687,121816.56461400002,-30.8444,-16.4785,
15,4143688,121816.55460799999,-40.9426,-30.2626,
16,4143689,121816.544603,-44.3979,-40.7237,
17,4143690,121816.534598,-29.2963,-36.6117,
18,4143691,121816.52459300001,-19.7729,-39.5145,
19,4143692,121816.514588,-8.241019999999999,-32.0282,
20,4143693,121816.504582,-6.37712,-43.2862,
21,4143694,121816.494577,-7.31159,-30.0465,
22,4143695,121816.484572,-7.013319999999999,-43.9737,
23,4143696,121816.47456700001,-20.0746,-46.2181,
24,4143697,121816.464562,-28.9201,-51.6382,
25,4143698,121816.454556,-22.7816,-39.1804,
26,4143699,121816.444551,-13.5701,-26.4274,
27,4143700,121816.434546,5.32344,-17.6451,77.9221
28,4143701,121816.42454100001,26.0628,-10.6229,
29,4143702,121816.414536,38.7128,-14.5559,
30,4143703,121816.40453,52.6346,-19.9827,
31,4143704,121816.394525,62.0961,0.258422,
32,4143705,121816.38452,58.7536,3.4898599999999997,
33,4143706,121816.374515,50.9747,17.7613,
34,4143707,121816.36450999998,41.5937,13.0562,
35,4143708,121816.354504,38.3207,5.93384,
36,4143709,121816.344499,32.5624,-1.0529600000000001,
37,4143710,121816.33449400001,32.2914,-4.90375,
38,4143711,121816.324489,36.5699,-4.95556,
39,4143712,121816.31448399999,24.6224,-4.663119999999999,
40,4143713,121816.30447799999,22.5894,9.14604,
41,4143714,121816.294473,9.37302,7.9142600000000005,
42,4143715,121816.28446800001,-5.5708400000000005,15.9391,
43,4143716,121816.27446300001,-7.17011,17.7517,
44,4143717,121816.26445799999,-19.7117,6.54593,
45,4143718,121816.254452,-25.4482,-14.1721,
46,4143719,121816.244447,-21.8314,-26.0027,
47,4143720,121816.234442,-28.8442,-33.2707,
48,4143721,121816.22443699998,-20.8262,-12.2898,
49,4143722,121816.214432,-19.595,9.30617,
50,4143723,121816.204426,-18.9059,25.6261,
51,4143724,121816.19442100001,-15.892000000000001,19.077,
52,4143725,121816.184416,-24.3814,19.6475,77.8098
53,4143726,121816.17441099999,-20.2824,18.7575,
54,4143727,121816.16440499999,-6.53594,19.9221,
55,4143728,121816.1544,-2.8118,19.0851,
56,4143729,121816.14439500001,7.01255,6.6368,
57,4143730,121816.13439,3.54965,12.258,
58,4143731,121816.12438499999,9.91135,19.331,
59,4143732,121816.11437899999,11.6363,11.6446,
60,4143733,121816.104374,9.86102,5.43928,
61,4143734,121816.094369,12.1213,-6.68059,
