,no,distance,accerelation_L,accerelation_R,velocity
1,15961035,4088.7,1.33861,-0.975096,
2,15961036,4088.69,5.9562800000000005,-2.69258,
3,15961037,4088.68,1.29777,-5.1493400000000005,
4,15961038,4088.67,-3.15147,0.269413,
5,15961039,4088.66,-3.4350199999999997,4.0072,
6,15961040,4088.65,-0.656788,0.219958,
7,15961041,4088.64,1.4766299999999999,-1.01797,
8,15961042,4088.63,0.0807968,3.6385699999999996,
9,15961043,4088.62,-0.8008109999999999,3.4603,
10,15961044,4088.61,-0.268171,0.13235999999999998,
11,15961045,4088.6,3.45152,-4.05786,
12,15961046,4088.59,3.6293699999999998,-4.14436,
13,15961047,4088.58,-2.5321599999999997,0.712104,
14,15961048,4088.57,-5.02457,-2.5559,
15,15961049,4088.56,-0.946242,-0.177177,
16,15961050,4088.55,5.12427,0.255195,27.8064
17,15961051,4088.54,-0.177806,2.91763,
18,15961052,4088.53,-1.1219299999999999,1.77057,
19,15961053,4088.52,1.99901,0.6720689999999999,
20,15961054,4088.51,-0.17703,-1.41996,
21,15961055,4088.5,-4.17201,1.1328799999999999,
22,15961056,4088.49,-3.22601,-0.9601729999999999,
23,15961057,4088.48,3.7993300000000003,-2.71529,
24,15961058,4088.47,2.72968,0.235749,
25,15961059,4088.46,-1.10637,-0.183323,
26,15961060,4088.45,0.940682,1.81614,
27,15961061,4088.44,-0.6066010000000001,-4.46696,
28,15961062,4088.43,-3.3540900000000002,2.35819,
29,15961063,4088.42,-2.9051400000000003,2.0013,
30,15961064,4088.41,2.70839,2.6214,
31,15961065,4088.4,1.08046,2.73468,
32,15961066,4088.39,-0.285767,2.56105,
33,15961067,4088.38,0.794244,-0.9559350000000001,
34,15961068,4088.37,0.26213000000000003,-1.0469600000000001,
35,15961069,4088.36,-1.4699,-1.4341700000000002,
36,15961070,4088.35,-1.8980000000000001,2.05342,
37,15961071,4088.34,-0.600978,-2.1284,
38,15961072,4088.33,1.46584,-2.87555,
39,15961073,4088.32,2.91289,-3.4956099999999997,
40,15961074,4088.31,-0.49930699999999995,3.31599,
41,15961075,4088.3,-4.8093900000000005,0.570376,27.6498
42,15961076,4088.29,1.1421299999999999,0.680358,
43,15961077,4088.28,5.8696,-1.36103,
44,15961078,4088.27,0.785424,1.0863399999999999,
45,15961079,4088.26,-1.4167,3.63901,
46,15961080,4088.25,-0.8588020000000001,4.19395,
47,15961081,4088.24,0.508273,-2.58615,
48,15961082,4088.23,-1.45491,-3.9367,
49,15961083,4088.22,-0.543325,-2.87295,
50,15961084,4088.21,0.791338,-1.11608,
51,15961085,4088.2,0.6646489999999999,2.07505,
52,15961086,4088.19,-1.49912,4.2791,
53,15961087,4088.18,0.46393900000000005,0.5517270000000001,
54,15961088,4088.17,3.0467,-0.795551,
55,15961089,4088.16,2.86895,-4.94271,
56,15961090,4088.15,-0.257601,-0.17616800000000002,
57,15961091,4088.14,-0.427413,0.746893,
58,15961092,4088.13,-0.39919899999999997,-0.107422,
59,15961093,4088.12,-0.24787800000000001,-0.145858,
60,15961094,4088.11,-3.8596800000000004,1.4852299999999998,
61,15961095,4088.1,-4.809740000000001,0.21314499999999997,
62,15961096,4088.09,0.486396,2.6271,
63,15961097,4088.08,2.49607,-1.8524599999999998,
64,15961098,4088.07,2.98736,-4.70675,
65,15961099,4088.06,0.275837,1.66577,
66,15961100,4088.05,1.7036,1.29528,27.8064
67,15961101,4088.04,0.173128,-0.636411,
68,15961102,4088.03,0.554208,-1.77367,
69,15961103,4088.02,-3.8386400000000003,-2.69322,
70,15961104,4088.01,-3.5244400000000002,-1.51621,
71,15961105,4088.0,-1.44012,1.6877900000000001,
72,15961106,4087.99,2.998,3.0818,
73,15961107,4087.98,3.0470599999999997,1.24739,
74,15961108,4087.97,1.0025,2.67369,
75,15961109,4087.96,-0.72054,0.857768,
76,15961110,4087.95,0.0160233,-1.53948,
77,15961111,4087.94,-0.0423984,-3.6781800000000002,
78,15961112,4087.93,-0.5826060000000001,-2.02292,
79,15961113,4087.92,0.00288333,-2.7181599999999997,
80,15961114,4087.91,3.67406,1.1704,
81,15961115,4087.9,1.91376,3.81489,
82,15961116,4087.89,-0.814325,4.12511,
83,15961117,4087.88,-3.03904,-1.61001,
84,15961118,4087.87,1.03373,-0.498204,
85,15961119,4087.86,-0.00332025,-1.3742299999999998,
86,15961120,4087.85,-3.6403300000000005,-2.67714,
87,15961121,4087.84,-0.5072840000000001,-2.43123,
88,15961122,4087.83,4.88457,-0.503478,
89,15961123,4087.82,0.0365495,0.0885729,
90,15961124,4087.81,-4.3736,3.3199,
91,15961125,4087.8,-0.92553,4.08369,27.8064
92,15961126,4087.79,4.547969999999999,1.67291,
93,15961127,4087.78,1.08996,2.62442,
94,15961128,4087.77,-4.70676,3.04566,
95,15961129,4087.76,-1.37642,1.45129,
96,15961130,4087.75,1.44275,-3.32341,
97,15961131,4087.74,0.436889,-6.785189999999999,
98,15961132,4087.73,-2.07913,-0.335725,
99,15961133,4087.72,-0.763918,2.12453,
100,15961134,4087.71,0.544438,-1.99492,
101,15961135,4087.7,2.7965400000000002,0.511022,
102,15961136,4087.69,-0.40070500000000003,-0.5486449999999999,
103,15961137,4087.68,-1.18955,4.0084599999999995,
104,15961138,4087.67,-0.0313917,3.65,
105,15961139,4087.66,1.22907,1.82863,
106,15961140,4087.65,0.22879000000000002,0.416908,
107,15961141,4087.64,-1.52354,-0.653804,
108,15961142,4087.63,-2.59285,-2.77521,
109,15961143,4087.62,-0.0524016,-5.98482,
110,15961144,4087.61,0.386836,-4.8087,
111,15961145,4087.6,-0.08568300000000001,-0.625079,
112,15961146,4087.59,-1.18736,4.81896,
113,15961147,4087.58,3.66799,2.40267,
114,15961148,4087.57,4.882619999999999,0.200154,
115,15961149,4087.56,-0.903699,0.07885930000000001,
116,15961150,4087.55,-5.158869999999999,1.0993700000000002,27.6498
117,15961151,4087.54,-1.3453899999999999,2.84133,
118,15961152,4087.53,2.68209,-4.62898,
119,15961153,4087.52,-0.903965,-2.1908,
120,15961154,4087.51,-3.40096,1.99393,
121,15961155,4087.5,3.6044199999999997,2.71113,
122,15961156,4087.49,2.26379,-1.8043200000000001,
123,15961157,4087.48,0.036032999999999996,-1.09896,
124,15961158,4087.47,0.139068,2.88401,
125,15961159,4087.46,-1.66703,1.3942700000000001,
126,15961160,4087.45,-3.17826,-3.99015,
127,15961161,4087.44,-1.92094,0.738513,
128,15961162,4087.43,3.5865,1.67144,
129,15961163,4087.42,1.03785,-2.11267,
130,15961164,4087.41,0.671565,-1.71976,
131,15961165,4087.4,2.19456,3.0436099999999997,
132,15961166,4087.39,-1.44777,-0.0571495,
133,15961167,4087.38,-1.6611099999999999,-1.71121,
134,15961168,4087.37,0.5465439999999999,-3.0853200000000003,
135,15961169,4087.36,1.84054,-1.77128,
136,15961170,4087.35,-1.6710900000000002,0.305129,
137,15961171,4087.34,-3.3753599999999997,5.46563,
138,15961172,4087.33,3.7389900000000003,2.31299,
139,15961173,4087.32,1.92746,-2.28463,
140,15961174,4087.31,-2.02032,1.5062,
141,15961175,4087.3,-1.35637,2.33331,27.7921
142,15961176,4087.29,-0.54923,0.166379,
143,15961177,4087.28,-0.191415,-1.8571900000000001,
144,15961178,4087.27,0.21997399999999998,-0.44811999999999996,
145,15961179,4087.26,0.897192,-2.7128799999999997,
146,15961180,4087.25,-0.6216470000000001,1.13208,
147,15961181,4087.24,3.15634,-1.78095,
148,15961182,4087.23,0.371284,-1.24441,
149,15961183,4087.22,2.39494,0.43095900000000004,
150,15961184,4087.21,-1.7391,2.69102,
151,15961185,4087.2,-1.61579,0.703435,
152,15961186,4087.19,-5.30839,3.61384,
153,15961187,4087.18,0.12759500000000001,-1.96262,
154,15961188,4087.17,3.5842400000000003,-3.1583799999999997,
155,15961189,4087.16,2.77267,-3.4320699999999995,
156,15961190,4087.15,-3.3445,6.90485,
157,15961191,4087.14,0.6814060000000001,2.5499099999999997,
158,15961192,4087.13,5.52335,-2.4893400000000003,
159,15961193,4087.12,2.1842,-3.18819,
160,15961194,4087.11,-3.87239,0.203622,
161,15961195,4087.1,-2.54576,1.18456,
162,15961196,4087.09,1.93192,-1.80497,
163,15961197,4087.08,-0.394341,-5.10919,
164,15961198,4087.07,-1.66576,2.37812,
165,15961199,4087.06,1.0104899999999999,4.8636099999999995,
166,15961200,4087.05,2.58773,-0.697167,27.7778
167,15961201,4087.04,0.0378744,-0.42224399999999995,
168,15961202,4087.03,-1.63058,-1.4552200000000002,
169,15961203,4087.02,0.24309299999999998,0.148612,
170,15961204,4087.01,0.241222,0.143346,
171,15961205,4087.0,1.82195,-2.58106,
172,15961206,4086.99,-1.8302599999999998,4.23645,
173,15961207,4086.98,-0.501342,4.02402,
174,15961208,4086.97,-1.6834099999999999,0.711594,
175,15961209,4086.96,-1.76226,-3.2229900000000002,
176,15961210,4086.95,-0.542585,-1.58164,
177,15961211,4086.94,-0.910745,-2.29998,
178,15961212,4086.93,-3.40521,-0.280724,
179,15961213,4086.92,1.68718,1.57997,
180,15961214,4086.91,2.64835,0.166713,
181,15961215,4086.9,1.62511,0.33058000000000004,
182,15961216,4086.89,-1.62125,0.98826,
183,15961217,4086.88,0.567185,-2.16243,
184,15961218,4086.87,-1.4052200000000001,-2.58849,
185,15961219,4086.86,-2.35252,-1.9322099999999998,
186,15961220,4086.85,-0.11174200000000001,-1.4752,
187,15961221,4086.84,3.2189400000000004,0.632961,
188,15961222,4086.83,2.66763,-0.6924600000000001,
189,15961223,4086.82,0.753903,3.23102,
190,15961224,4086.81,0.467942,1.93009,
191,15961225,4086.8,-1.8121099999999999,-3.67542,27.6074
